ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Encantar alabarda +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Encantar alabarda +2.
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Encantar alabarda +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Encantar alabarda de relámpagos.
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Encantar alabarda de relámpagos
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Encantar ballesta de mano +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Encantar ballesta de mano +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Encantar ballesta de mano +2.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Encantar ballesta de mano +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Encantar ballesta de mano ácida.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Encantar ballesta de mano ácida
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Encantar maza larga +1.
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Encantar maza larga +1
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Encantar maza larga +2.
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Encantar maza larga +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Encanta maza larga atronadora.
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Encantar maza larga atronadora
Item/&CraftingManualRecipeEnchantCEPike+1Description	Encantar lucio +1.
Item/&CraftingManualRecipeEnchantCEPike+1Title	Encantar pica +1
Item/&CraftingManualRecipeEnchantCEPike+2Description	Encantar lucio +2.
Item/&CraftingManualRecipeEnchantCEPike+2Title	Encantar pica +2
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Encantar lucio psíquico.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Encantar pica psíquica
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Encantar vendas +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Encantar vendajes +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Encantar vendas +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Encantar vendajes +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Encanta vendajes vigorosos.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Encantar vendajes vigorosos
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Encanta las vendas de tirar.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Encantar vendas de tirar
Item/&CraftingManualRecipePrimingCEHalberdDescription	Primera alabarda.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Primera alabarda
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Ballesta de mano Prime.
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Ballesta de mano principal
Item/&CraftingManualRecipePrimingCELongMaceDescription	Maza larga principal.
Item/&CraftingManualRecipePrimingCELongMaceTitle	Maza larga principal
Item/&CraftingManualRecipePrimingCEPikeDescription	Pique de primera.
Item/&CraftingManualRecipePrimingCEPikeTitle	Lucio principal
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	FuerzaArtilleríaProyectil
Item/&Handwraps+1Title	Vendas de manos +1
Item/&Handwraps+1UnidentifiedTitle	Vendas de buena calidad.
Item/&Handwraps+2Title	Vendajes +2
Item/&Handwraps+2UnidentifiedTitle	Manijas magníficas
Item/&HandwrapsOfForceTitle	Vendajes contundentes
Item/&HandwrapsOfForceUnidentifiedTitle	Manijas magníficas
Item/&HandwrapsOfPullingTitle	Vendas de tirar
Item/&HandwrapsOfPullingUnidentifiedTitle	Manijas magníficas
Language/&AbyssalDescription	El lenguaje abisal era la forma del lenguaje primordial que ha sido envuelto y torcido por la maldad del abismo.
Language/&AbyssalTitle	Abisal
Language/&GnomishLanguageDescription	Una antigua lengua de Solasta, conservada por los gnomos que vivían en los profundos bosques de Solasta, ha sobrevivido al Cataclismo.
Language/&GnomishLanguageTitle	gnómico
MainMenu/&ExportPdfDescription	Baja de nivel a este héroe.
MainMenu/&ExportPdfTitle	Nivel abajo
Message/&CharacterExportDuplicateNameErrorDescription	Exportación cancelada:\n\nYa existe un héroe con este nombre en la piscina.\nIntente con otro nombre.
Message/&CharacterExportEmptyNameErrorDescription	Exportación cancelada:\n\nIntente con un nombre que no esté vacío.
Message/&CharacterExportModalContentDescription	Ingrese el nombre del héroe para exportar:
Message/&CharacterExportModalTitleDescription	Exportación de personajes.
Message/&LevelDownConfirmationDescription	¿Bajar de nivel a este héroe?
Message/&LevelDownMultiplayerAbortDescription	No se puede bajar de nivel durante una sesión multijugador.
Message/&MessageModWelcomeDescription	Community Expansion Mod está repleto de funciones interesantes, pero de forma predeterminada, ninguna está habilitada. Presiona <color=amarillo>Ctrl-F10</color> para abrir la interfaz de usuario de Unity Mod Manager [UMM], luego haz clic en el ícono de configuración junto a "Expansión de la comunidad" para abrir las páginas de configuración.\n\n Explora las opciones y selecciona las que más te gusten. Ahora se abrirá la interfaz de usuario de UMM.
Message/&MessageModWelcomeTitle	Mod de expansión comunitaria
Message/&RespecMultiplayerAbortDescription	No se puede respetar durante una sesión multijugador o en un mapa de exploración.
Message/&SpawnCustomEncounterDescription	¿Encuentro de aparición en las coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	No se pueden generar encuentros en un juego multijugador. Aún...
Message/&SpawnCustomEncounterTitle	Encontrar
Message/&TeleportPartyDescription	¿Teletransportar el grupo a las coordenadas ({0}, {1})?\nPuede romper misiones o mapas si se teletransporta a un lugar desconocido.
Message/&TeleportPartyTitle	teletransportarse
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	El arma usa el modificador Carisma para las tiradas de ataque y daño y cuenta como mágica hasta un descanso prolongado.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	alma empoderada
Modifier/&AttributeModifierRuinDescription	-3 a la Clase de Armadura.
Modifier/&AttributeModifierRuinTitle	Arruinado
Modifier/&CripplingAdditionalDamageDescription	Daño paralizante.
Modifier/&CripplingAdditionalDamageTitle	Herida
Modifier/&DisorientDescription	-1d6 a las tiradas de ataque.
Modifier/&DisorientTitle	desorientado
Monster/&DHCustomCouatlDescription	Los couatls son seres serpentinos benévolos de gran intelecto y perspicacia. Sus alas de colores brillantes y su manera amable hablan de sus orígenes celestiales.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Búho Familiar.
Monster/&OwlFamiliarTitle	Búho
Monster/&PactOfChainCustomImpDescription	Los diablillos se encuentran por todos los Planos Inferiores, ya sea haciendo recados para sus amos infernales, espiando a sus rivales o engañando y asechando a los mortales. Un diablillo servirá con orgullo a un amo malvado de cualquier tipo, pero no se puede confiar en él para llevar a cabo tareas con rapidez o eficiencia.
Monster/&PactOfChainCustomImpTitle	Diablillo (Pacto de Cadena)
Monster/&PactOfChainCustomPseudodragonDescription	El escurridizo pseudodragón habita en los lugares tranquilos del mundo, haciendo su hogar en los huecos de los árboles y pequeñas cuevas. Con sus escamas verdes, cuernos y fauces llenas de dientes afilados, un pseudodragón se parece a un pequeño dragón verde pero su disposición es juguetona.
Monster/&PactOfChainCustomPseudodragonTitle	pseudodragon
Monster/&PactOfChainCustomQuasitDescription	Los quasits infestan los Planos Inferiores. Físicamente débiles, se mantienen en las sombras para tramar travesuras y maldades. Los demonios más poderosos usan cuasis como espías y mensajeros cuando no los están devorando o descuartizando para pasar el tiempo.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacto de Cadena)
Monster/&PactOfChainCustomSpriteDescription	A diferencia de los duendes, los duendes rara vez se entregan a la alegría y la diversión frívolas. Son firmes guerreros, protectores y jueces, y su severa inclinación hace que otras hadas los consideren demasiado severos y serios. Sin embargo, las hadas que respetan el territorio de los duendes los encuentran aliados incondicionales en tiempos de problemas.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pacto de Cadena)
Monster/&WitchOwlFamiliarDescription	Búho Familiar.
Monster/&WitchOwlFamiliarTitle	Búho
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 de daño perforante y el objetivo debe superar una tirada de salvación de Constitución CD 11 o quedar envenenado.
MonsterAttack/&AttackWarlockDragonStingTitle	Picadura venenosa
MonsterAttack/&AttackWarlockImpStingDescription	Picadura venenosa de un diablillo.
MonsterAttack/&AttackWarlockImpStingTitle	Picadura venenosa
MonsterAttack/&AttackWarlockQuasitStingTitle	Picadura venenosa
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Daño perforante, y el objetivo debe tener éxito en una tirada de salvación de Constitución CD 13 o quedará envenenado durante 24 horas. Hasta que este veneno termine, el objetivo está inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morder
Power/&AncientForestLifeSapDescription	Cuando dañas a un enemigo con un hechizo, recuperas HP igual a la mitad de tu nivel una vez por turno. Si estás por debajo de la mitad de HP, en su lugar recuperas HP igual a tu nivel, pero solo hasta la mitad de tu HP máximo.
Power/&AncientForestLifeSapTitle	savia de vida
Power/&AncientForestRootedPowerDescription	Los zarcillos arbóreos crecen de tus pies y se clavan en el suelo. Tu velocidad se convierte en 0 y obtienes ventaja en cualquier tirada de salvación para empujarte, jalarte o derribarte. Puedes lanzar Enredar a voluntad.
Power/&AncientForestRootedPowerTitle	Arraigado
Power/&ClassMonkDiamondSoulPowerDescription	Cada vez que haces una tirada de salvación y fallas, puedes gastar 1 punto de ki para volver a tirar y obtener el segundo resultado.
Power/&ClassMonkDiamondSoulPowerTitle	alma de diamante
Power/&ClassMonkEmptyBodyDescription	Puedes usar tu acción para gastar 4 puntos de ki para volverte invisible durante 1 minuto. Durante ese tiempo, también tienes resistencia a todo daño excepto al daño forzado.
Power/&ClassMonkEmptyBodyTitle	cuerpo vacio
Power/&ClassMonkFlurryOfBlowsDescription	Después de gastar tu acción para atacar con el arma Monje, puedes gastar 1 punto de ki como acción adicional para realizar 2 ataques sin armas. Solo disponible si no llevas armadura o empuñas un escudo.
Power/&ClassMonkFlurryOfBlowsTitle	Ráfaga de golpes
Power/&ClassMonkKiPoolDescription	Puedes aprovechar la energía mística del ki. Tu acceso a esta energía está representado por un número de puntos ki. La cantidad máxima es igual a tu nivel de Monje. Todos los puntos gastados se recuperan con un descanso corto o largo. Puede gastar estos puntos para alimentar varias funciones de ki.
Power/&ClassMonkKiPoolTitle	Puntos Ki
Power/&ClassMonkKiStillnessOfMindDescription	Puedes usar tu acción para acabar con un efecto en ti mismo que te esté encantando o asustando.
Power/&ClassMonkKiStillnessOfMindTitle	Quietud de la mente
Power/&ClassMonkOpenHandDistractDescription	El objetivo no puede tomar reacciones hasta el final de tu próximo turno.
Power/&ClassMonkOpenHandDistractTitle	Distraer
Power/&ClassMonkOpenHandProneDescription	El objetivo debe tener éxito en la tirada de salvación de Destreza o será derribado.
Power/&ClassMonkOpenHandProneTitle	Noquear
Power/&ClassMonkOpenHandPushDescription	El objetivo debe tener éxito en la tirada de salvación de Fuerza o ser empujado a 15 pies de ti.
Power/&ClassMonkOpenHandPushTitle	Empujar
Power/&ClassMonkOpenHandTechniqueDescription	Puedes manipular el ki de tu enemigo cuando aprovechas el tuyo. Cada vez que golpeas a una criatura con uno de los ataques otorgados por tu Ráfaga de golpes, puedes imponer uno de los siguientes efectos sobre ese objetivo:\n• Debe tener éxito en una tirada de salvación de Destreza o ser derribado.\n• Debe hacer una tirada de salvación de Fuerza. Si falla, puede empujarlo hasta 15 pies de distancia de usted.\n• No puede tomar reacciones hasta el final de tu próximo turno.
Power/&ClassMonkOpenHandTechniqueTitle	Técnica de mano abierta
Power/&ClassMonkPatientDefenseDescription	Puedes gastar 1 punto de ki como acción adicional para realizar la acción de Esquivar. Solo disponible si no llevas armadura o escudo.
Power/&ClassMonkPatientDefenseTitle	Defensa del Paciente
Power/&ClassMonkQuiveringPalmDescription	Cuando golpeas a una criatura con un golpe desarmado, puedes gastar 3 puntos de ki para iniciar vibraciones imperceptibles que obligan a la criatura a realizar una tirada de salvación de Constitución. Si falla, se reduce a 0 puntos de vida. Si tiene éxito, sufre 10d10 de daño necrótico.
Power/&ClassMonkQuiveringPalmTitle	Palma temblorosa
Power/&ClassMonkSlowFallDescription	Puedes usar tu reacción cuando te caes para evitar cualquier daño por caída.
Power/&ClassMonkSlowFallTitle	Caída Lenta
Power/&ClassMonkStepOfTheWindDescription	Puedes gastar 1 punto de ki para realizar la acción de Retirada o Correr como acción adicional en tu turno, y tu distancia de salto se duplica durante el turno. Solo disponible si no llevas armadura o escudo.
Power/&ClassMonkStepOfTheWindTitle	Paso del viento
Power/&ClassMonkStunningStrikeDescription	Puedes interferir con el flujo de ki en el cuerpo de un oponente. Cuando golpeas a otra criatura que no está aturdida con un ataque de arma cuerpo a cuerpo, puedes gastar 1 punto de ki para intentar un golpe aturdidor. El objetivo debe tener éxito en una tirada de salvación de Constitución o quedará aturdido hasta el final de tu próximo turno.
Power/&ClassMonkStunningStrikeTitle	Golpe aturdidor
Power/&ClassMonkTanquilityDescription	Una vez por breve descanso como acción gratuita puedes entrar en estado de tranquilidad, calmando tus emociones y enfocándote en lo que te rodea. Mientras estás en este estado, obtienes ventaja en las tiradas de salvación contra hechizos y los enemigos tienen desventaja cuando te atacan. La tranquilidad dura hasta el siguiente descanso o hasta que atacas o lanzas un hechizo.
Power/&ClassMonkTanquilityTitle	Tranquilidad
Power/&ClassMonkWholenessOfBodyDescription	Como acción, puedes recuperar puntos de golpe equivalentes a tres veces tu nivel de Monje. Debes terminar un descanso prolongado antes de poder usar esta función nuevamente.
Power/&ClassMonkWholenessOfBodyTitle	Plenitud del cuerpo
Power/&ClassMonkZenArcherFlurryOfArrowsDescription	Después de gastar una acción para atacar con el arma Monk, puedes gastar 2 puntos de ki como acción adicional para hacer 2 ataques con armas a distancia con un arco. Solo disponible si no llevas armadura o escudo.
Power/&ClassMonkZenArcherFlurryOfArrowsTitle	Ráfaga de flechas
Power/&ClassMonkZenArrowDistractDescription	El objetivo debe tener éxito en la tirada de salvación de Sabiduría o tendrá desventaja en el próximo ataque hasta el final de su próximo turno.
Power/&ClassMonkZenArrowDistractTitle	Distraer
Power/&ClassMonkZenArrowProneDescription	El objetivo debe tener éxito en la tirada de salvación de Destreza o será derribado.
Power/&ClassMonkZenArrowProneTitle	Noquear
Power/&ClassMonkZenArrowPushDescription	El objetivo debe tener éxito en la tirada de salvación de Fuerza o ser empujado a 10 pies de ti.
Power/&ClassMonkZenArrowPushTitle	Empujar
Power/&ClassMonkZenArrowTechniqueDescription	Puedes manipular el ki de tu enemigo cuando lo golpeas con tus flechas. Cada vez que golpeas a una criatura con una de tus flechas, puedes gastar 1 ki para imponer uno de los siguientes efectos en ese objetivo:\n• Debe tener éxito en una tirada de salvación de Destreza o ser derribado.\n• Debe superar una tirada de salvación de Fuerza o ser empujado a 10 pies de ti.\n• Debe tener éxito en una tirada de salvación de Sabiduría o tener desventaja en el próximo ataque hasta el final de su próximo turno.
Power/&ClassMonkZenArrowTechniqueShortTitle	mano distante
