ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Encantar Alças De Puxar
Item/&CraftingManualRecipePrimingCEHalberdDescription	Alabarda Prime.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Alabarda Prime
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Besta de mão principal.
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Besta de mão principal
Item/&CraftingManualRecipePrimingCELongMaceDescription	Maça Longa Prime.
Item/&CraftingManualRecipePrimingCELongMaceTitle	Maça Longa Prime
Item/&CraftingManualRecipePrimingCEPikeDescription	Pique Prime.
Item/&CraftingManualRecipePrimingCEPikeTitle	Pique Prime
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Bandagens +1
Item/&Handwraps+1UnidentifiedTitle	Almofadas de mão de boa qualidade
Item/&Handwraps+2Title	Alças +2
Item/&Handwraps+2UnidentifiedTitle	Algemas Magníficas
Item/&HandwrapsOfForceTitle	Algemas Fortes
Item/&HandwrapsOfForceUnidentifiedTitle	Algemas Magníficas
Item/&HandwrapsOfPullingTitle	Alças de Puxar
Item/&HandwrapsOfPullingUnidentifiedTitle	Algemas Magníficas
Language/&AbyssalDescription	A linguagem abissal era a forma da linguagem primordial que foi envolta e torcida pelo mal do abismo.
Language/&AbyssalTitle	Abissal
Language/&GnomishLanguageDescription	Uma antiga língua Solastan, preservada por gnomos que vivem nas florestas profundas de Solasta, sobreviveu ao Cataclismo.
Language/&GnomishLanguageTitle	Gnômico
MainMenu/&ExportPdfDescription	Desça o nível deste Herói.
MainMenu/&ExportPdfTitle	Nível baixo
Message/&CharacterExportDuplicateNameErrorDescription	Exportação cancelada:\n\nUm herói com esse nome já existe no pool.\nPor favor, tente um nome diferente.
Message/&CharacterExportEmptyNameErrorDescription	Exportação cancelada:\n\nTente um nome não vazio.
Message/&CharacterExportModalContentDescription	Digite o nome do herói para exportar:
Message/&CharacterExportModalTitleDescription	Exportação de caracteres.
Message/&LevelDownConfirmationDescription	Reduzir o nível deste Herói?
Message/&LevelDownMultiplayerAbortDescription	Não é possível descer de nível durante uma sessão multijogador.
Message/&MessageModWelcomeDescription	O Community Expansion Mod está repleto de recursos interessantes, mas, por padrão, nenhum está ativado. Pressione <color=yellow>Ctrl-F10</color> para abrir a interface do usuário do Unity Mod Manager [UMM] e clique no ícone de configurações ao lado de 'Expansão da comunidade' para abrir as páginas de configurações.\n\n Explore as opções e selecione as que você gosta. A interface do usuário do UMM será aberta agora.
Message/&MessageModWelcomeTitle	Módulo de expansão da comunidade
Message/&RespecMultiplayerAbortDescription	Não é possível Respec durante uma sessão multiplayer ou no mapa de exploração.
Message/&SpawnCustomEncounterDescription	Gerar encontro nas coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Não é possível gerar encontros em um jogo multiplayer. Ainda...
Message/&SpawnCustomEncounterTitle	Encontro
Message/&TeleportPartyDescription	Teletransportar o grupo para as coordenadas ({0}, {1})?\nVocê pode quebrar missões ou mapas se se teletransportar para um lugar desconhecido.
Message/&TeleportPartyTitle	teleporte
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	A arma usa o modificador de Carisma para jogadas de ataque e dano e conta como mágica até um descanso longo.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Fortalecido pela alma
Modifier/&AttributeModifierRuinDescription	-3 na Classe de Armadura.
Modifier/&AttributeModifierRuinTitle	Arruinado
Modifier/&CripplingAdditionalDamageDescription	Dano Destrutivo.
Modifier/&CripplingAdditionalDamageTitle	Aleijante
Modifier/&DisorientDescription	-1d6 nas jogadas de ataque.
Modifier/&DisorientTitle	Desorientado
Monster/&DHCustomCouatlDescription	Couatls são seres serpentinos benevolentes de grande intelecto e discernimento. Suas asas brilhantemente coloridas e maneiras gentis falam de suas origens celestiais.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Coruja Familiar.
Monster/&OwlFamiliarTitle	Coruja
Monster/&PactOfChainCustomImpDescription	Diabretes são encontrados em todos os Planos Inferiores, executando tarefas para seus mestres infernais, espionando rivais ou enganando e emboscando mortais. Um diabrete servirá orgulhosamente a um mestre maligno de qualquer tipo, mas não pode ser confiável para realizar tarefas com velocidade ou eficiência.
Monster/&PactOfChainCustomImpTitle	Imp (Pacto da Cadeia)
Monster/&PactOfChainCustomPseudodragonDescription	O indescritível pseudodragão habita os lugares tranquilos do mundo, fazendo sua casa nas cavidades das árvores e pequenas cavernas. Com suas escamas verdes, chifres e uma boca cheia de dentes afiados, um pseudodragão se assemelha a um pequeno dragão verde, mas sua disposição é brincalhona.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragão
Monster/&PactOfChainCustomQuasitDescription	Quasits infestam os Planos Inferiores. Fisicamente fracos, eles ficam nas sombras para tramar travessuras e maldades. Demônios mais poderosos usam quasits como espiões e mensageiros quando não os estão devorando ou separando-os para passar o tempo.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacto da Cadeia)
Monster/&PactOfChainCustomSpriteDescription	Ao contrário dos duendes, os sprites raramente se entregam a alegria e diversão frívolas. Eles são guerreiros firmes, protetores e juízes, e sua inclinação severa faz com que outros feéricos os considerem excessivamente severos e sérios. No entanto, fadas que respeitam o território dos sprites os encontram aliados firmes em tempos de dificuldade.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pacto da Corrente)
Monster/&WitchOwlFamiliarDescription	Coruja Familiar.
Monster/&WitchOwlFamiliarTitle	Coruja
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 de dano perfurante e o alvo deve ser bem sucedido em um teste de resistência de Constituição CD 11 ou ficará envenenado.
MonsterAttack/&AttackWarlockDragonStingTitle	Picada Venenosa
MonsterAttack/&AttackWarlockImpStingDescription	Picada venenosa de um diabrete.
MonsterAttack/&AttackWarlockImpStingTitle	Picada Venenosa
MonsterAttack/&AttackWarlockQuasitStingTitle	Picada Venenosa
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Dano perfurante e o alvo deve ser bem sucedido em um teste de resistência de Constituição CD 13 ou ficará envenenado por 24 horas. Até que este veneno termine, o alvo está inconsciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morder
Power/&AncientForestLifeSapDescription	Quando você causa dano a um inimigo com um feitiço, você cura HP igual à metade do seu nível uma vez por turno. Se você estiver com menos da metade do HP, você cura o HP igual ao seu nível, mas apenas até a metade do seu HP máximo.
Power/&AncientForestLifeSapTitle	Seiva da Vida
Power/&AncientForestRootedPowerDescription	Gavinhas arbóreas crescem de seus pés e cavam no chão. Seu deslocamento se torna 0 e você ganha vantagem em qualquer teste de resistência para empurrá-lo, puxá-lo ou derrubá-lo. Você pode conjurar enredar à vontade.
Power/&AncientForestRootedPowerTitle	Enraizado
Power/&ClassMonkDiamondSoulPowerDescription	Sempre que você fizer um teste de resistência e falhar, você pode gastar 1 ponto de ki para rerrolá-lo e obter o segundo resultado.
Power/&ClassMonkDiamondSoulPowerTitle	Alma de diamante
Power/&ClassMonkEmptyBodyDescription	Você pode usar sua ação para gastar 4 pontos de ki para ficar invisível por 1 minuto. Durante esse tempo, você também tem resistência a todos os danos, exceto dano de força.
Power/&ClassMonkEmptyBodyTitle	Corpo Vazio
Power/&ClassMonkFlurryOfBlowsDescription	Depois de gastar sua ação para atacar com a arma Monge, você pode gastar 1 ponto de ki como uma ação bônus para fazer 2 ataques desarmados. Disponível apenas se você não estiver usando armadura ou empunhando um escudo.
Power/&ClassMonkFlurryOfBlowsTitle	Rajada de Golpes
Power/&ClassMonkKiPoolDescription	Você pode aproveitar a energia mística do ki. Seu acesso a essa energia é representado por vários pontos de ki. A quantidade máxima é igual ao seu nível de Monge. Todos os pontos gastos são recuperados em descanso curto ou longo. Você pode gastar esses pontos para alimentar vários recursos de ki.
Power/&ClassMonkKiPoolTitle	Pontos Ki
Power/&ClassMonkKiStillnessOfMindDescription	Você pode usar sua ação para acabar com um efeito em si mesmo que está deixando você enfeitiçado ou assustado.
Power/&ClassMonkKiStillnessOfMindTitle	Tranquilidade da mente
Power/&ClassMonkOpenHandDistractDescription	O alvo não pode realizar reações até o final do seu próximo turno.
Power/&ClassMonkOpenHandDistractTitle	Distrair
Power/&ClassMonkOpenHandProneDescription	O alvo deve ser bem sucedido no teste de resistência de Destreza ou será derrubado.
Power/&ClassMonkOpenHandProneTitle	Derrubar
Power/&ClassMonkOpenHandPushDescription	O alvo deve ser bem sucedido no teste de resistência de Força ou será empurrado a 4,5 metros de distância de você.
Power/&ClassMonkOpenHandPushTitle	Afastar
Power/&ClassMonkOpenHandTechniqueDescription	Você pode manipular o ki do seu inimigo quando usa o seu. Sempre que você acertar uma criatura com um dos ataques concedidos pela sua Rajada de Golpes, você pode impor um dos seguintes efeitos nesse alvo:\n• Ele deve ser bem sucedido em um teste de resistência de Destreza ou será derrubado.\n• Deve fazer um teste de resistência de Força. Se falhar, você pode empurrá-lo até 15 pés de distância de você.\n• Ele não pode receber reações até o final do seu próximo turno.
Power/&ClassMonkOpenHandTechniqueTitle	Técnica de Mão Aberta
Power/&ClassMonkPatientDefenseDescription	Você pode gastar 1 ponto de ki como uma ação bônus para realizar a ação de Esquiva. Disponível apenas se você não estiver usando armadura ou escudo.
Power/&ClassMonkPatientDefenseTitle	Defesa do paciente
Power/&ClassMonkQuiveringPalmDescription	Quando você atinge uma criatura com um ataque desarmado, você pode gastar 3 pontos de ki para iniciar vibrações imperceptíveis que forçam a criatura a fazer um teste de resistência de Constituição. Se falhar, é reduzido a 0 pontos de vida. Se for bem sucedido, sofre 10d10 de dano necrótico.
Power/&ClassMonkQuiveringPalmTitle	Palmeira Tremendo
Power/&ClassMonkSlowFallDescription	Você pode usar sua reação ao cair para evitar qualquer dano de queda.
Power/&ClassMonkSlowFallTitle	Queda Lenta
Power/&ClassMonkStepOfTheWindDescription	Você pode gastar 1 ponto de ki para realizar a ação Desengajar ou Correr como uma ação bônus em seu turno, e sua distância de salto é dobrada no turno. Disponível apenas se você não estiver usando armadura ou escudo.
Power/&ClassMonkStepOfTheWindTitle	Passo do vento
Power/&ClassMonkStunningStrikeDescription	Você pode interferir no fluxo de ki no corpo de um oponente. Quando você atinge outra criatura que não está atordoada com um ataque de arma corpo a corpo, você pode gastar 1 ponto de ki para tentar um golpe atordoante. O alvo deve ser bem sucedido em um teste de resistência de Constituição ou ficará atordoado até o final do seu próximo turno.
Power/&ClassMonkStunningStrikeTitle	Golpe Impressionante
Power/&ClassMonkTanquilityDescription	Uma vez por descanso curto como uma ação livre, você pode entrar em estado de tranquilidade, acalmando suas emoções e concentrando-se no que está ao seu redor. Enquanto neste estado você ganha vantagem nos testes de resistência contra feitiços e os inimigos ficam em desvantagem ao atacá-lo. A tranquilidade dura até o próximo descanso ou até você atacar ou lançar uma magia.
Power/&ClassMonkTanquilityTitle	Tranqüilidade
Power/&ClassMonkWholenessOfBodyDescription	Com uma ação, você pode recuperar pontos de vida iguais a três vezes seu nível de Monge. Você deve terminar um descanso longo antes de poder usar esta característica novamente.
Power/&ClassMonkWholenessOfBodyTitle	Totalidade do Corpo
Power/&ClassMonkZenArcherFlurryOfArrowsDescription	Depois de gastar a ação para atacar com a arma Monge, você pode gastar 2 pontos de ki como uma ação bônus para fazer 2 ataques com arma à distância com um arco. Disponível apenas se você não estiver usando armadura ou escudo.
Power/&ClassMonkZenArcherFlurryOfArrowsTitle	Rajada de Flechas
Power/&ClassMonkZenArrowDistractDescription	O alvo deve ser bem sucedido no teste de resistência de Sabedoria ou terá desvantagem no próximo ataque até o final de seu próximo turno.
Power/&ClassMonkZenArrowDistractTitle	Distrair
Power/&ClassMonkZenArrowProneDescription	O alvo deve ser bem sucedido no teste de resistência de Destreza ou será derrubado.
Power/&ClassMonkZenArrowProneTitle	Derrubar
Power/&ClassMonkZenArrowPushDescription	O alvo deve ser bem sucedido no teste de resistência de Força ou será empurrado 3 metros para longe de você.
Power/&ClassMonkZenArrowPushTitle	Afastar
Power/&ClassMonkZenArrowTechniqueDescription	Você pode manipular o ki do seu inimigo quando você o atinge com suas flechas. Sempre que você acertar uma criatura com uma de suas flechas, você pode gastar 1 ki para impor um dos seguintes efeitos nesse alvo:\n• Ele deve ser bem sucedido em um teste de resistência de Destreza ou será derrubado.\n• Ele deve ser bem sucedido em um teste de resistência de Força ou será empurrado a 3 metros de distância de você.\n• Ele deve ser bem sucedido em um teste de resistência de Sabedoria ou terá desvantagem no próximo ataque até o final de seu próximo turno.
Power/&ClassMonkZenArrowTechniqueShortTitle	Mão Distante
Power/&ClassMonkZenArrowTechniqueTitle	Técnica da mão distante
Power/&ClassMonkZenArrowUpgradedDistractDescription	O alvo deve ser bem sucedido em um teste de resistência de Sabedoria ou terá desvantagem em todos os ataques até o final de seu próximo turno.
Power/&ClassMonkZenArrowUpgradedDistractTitle	Distrair
Power/&ClassMonkZenArrowUpgradedProneDescription	O alvo deve ser bem sucedido em um teste de resistência de Destreza ou será derrubado e terá seu movimento definido como zero por um turno.
Power/&ClassMonkZenArrowUpgradedProneTitle	Derrubar
Power/&ClassMonkZenArrowUpgradedPushDescription	O alvo deve ser bem sucedido em um teste de resistência de Força ou será empurrado 6 metros para longe de você.
Power/&ClassMonkZenArrowUpgradedPushTitle	Afastar
Power/&ClassMonkZenArrowUpgradedTechniqueDescription	Você melhora sua habilidade de manipular o ki. Todos os efeitos da Técnica da Mão Distante foram melhorados. Sempre que você acertar uma criatura com uma de suas flechas, você pode gastar 1 ki para impor um dos seguintes efeitos nesse alvo:\n• Ele deve ter sucesso em um teste de resistência de Destreza ou será derrubado e terá seu movimento definido como zero por um turno.\n• Ele deve ser bem sucedido em um teste de resistência de Força ou será empurrado 6 metros para longe de você.\n• Ele deve ser bem sucedido em um teste de resistência de Sabedoria ou terá desvantagem em todos os ataques até o final de seu próximo turno.
Power/&ClassMonkZenArrowUpgradedTechniqueShortTitle	Mão Distante
Power/&ClassMonkZenArrowUpgradedTechniqueTitle	Técnica de Mão Distante Aprimorada
Power/&DH_ElementalFormPoolDescription	Você pode alternar entre formas elementais um número de vezes igual ao seu bônus de proficiência por descanso longo canalizando energia elemental. Você ganha resistência ao dano relevante e, uma vez por turno, aplica seu bônus de proficiência como dano do mesmo tipo ao primeiro dano mágico causado naquele turno. Os formulários duram 1 minuto.
Power/&DH_ElementalFormPoolEnhancedDescription	Você pode alternar entre formas elementais aprimoradas um número de vezes igual ao seu bônus de proficiência por dia canalizando energia elemental. Você ganha imunidade ao dano relevante e aplica bônus de proficiência como dano do mesmo tipo ao primeiro dano mágico a cada rodada. Os formulários duram 1 minuto.
Power/&DH_ElementalFormPoolEnhancedTitle	Formas Elementais Aprimoradas
Power/&DH_ElementalFormPoolEnhancedTitleShort	Formas Elementais
Power/&DH_ElementalFormPoolTitle	Formas Elementais
Power/&FindFamiliarBundlePowerDescription	Invoque um familiar na forma de Pseudorgagon, Sprite, Imp ou Quasit.
