ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	AbilitÃ , FurtivitÃ  e Inganno.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	AbilitÃ  suggerite
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina e Persuasione.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	AbilitÃ  consigliate
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletica e Intimidazione.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	AbilitÃ  consigliate
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	FurtivitÃ , Inganno e Natura.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	AbilitÃ  consigliate
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Sopravvivenza e Natura.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	AbilitÃ  suggerite
FlexibleRaces/&PointPoolAbilityScore3Description	Utilizza tre potenziamenti dei punteggi di abilitÃ  in qualsiasi combinazione a scelta.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento del punteggio di abilitÃ 
FlexibleRaces/&PointPoolAbilityScore4Description	Utilizza quattro potenziamenti sui punteggi di abilitÃ  in qualsiasi combinazione a scelta.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento del punteggio di abilitÃ 
Format/&LevelAndExperienceFormat	Livello: {0}\nEsperienza: {1}\n{2} punti necessari per raggiungere il livello {3}.
Format/&LevelAndExperienceMaxedFormat	Livello: {0}\nEsperienza: {1}\nlivello massimo raggiunto
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda di qualitÃ 
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda magnifica
Item/&CEHalberdLightningTitle	Alabarda fulminante 
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda Magnifica 
Item/&CEHalberdPrimedTitle	Alabarda innescata
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Balestra a mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Balestra a mano di qualitÃ 
Item/&CEHandXbow+2Title	Balestra a mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Balestra a mano magnifica
Item/&CEHandXbowAcidTitle	Balestra a mano acida
Item/&CEHandXbowAcidUnidentifiedTitle	Balestra a mano magnifica
Item/&CEHandXbowPrimedTitle	Balestra a mano innescata
Item/&CEHandXbowTitle	Balestra a mano
Item/&CELongMace+1Title	Mazza lunga +1
Item/&CELongMace+1UnidentifiedTitle	Mazza lunga di qualitÃ 
Item/&CELongMace+2Title	Mazza lunga +2
Item/&CELongMace+2UnidentifiedTitle	Mazza lunga magnifica
Item/&CELongMacePrimedTitle	Mazza lunga innescata
Item/&CELongMaceThunderTitle	Mazza lunga tonante
Item/&CELongMaceThunderUnidentifiedTitle	Mazza lunga magnifica
Item/&CELongMaceTitle	Mazza lunga
Item/&CEPike+1Title	Luccio +1
Item/&CEPike+1UnidentifiedTitle	Luccio di qualitÃ 
Item/&CEPike+2Title	Luccio +2
Item/&CEPike+2UnidentifiedTitle	Luccio Magnifico
Item/&CEPikePrimedTitle	Lucchetto Privilegiato
Item/&CEPikePsychicTitle	Luccio psichico
Item/&CEPikePsychicUnidentifiedTitle	Luccio Magnifico
Item/&CEPikeTitle	Luccio
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Incanta Alabarda +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Incanta Alabarda +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Incanta l'Alabarda del Fulmine 
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Incanta Balestra a mano +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Incanto Balestra a mano +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Incanto Balestra a mano acida
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Incanto Mazza Lunga +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Incanto Mazza Lunga +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Incanto Mazza Lunga Tonante
Item/&CraftingManualRecipeEnchantCEPike+1Title	Incanto Luccio +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Incanto Luccio +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Incanto Luccio Psichico
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Incantare Coprimaniche +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Incanto Coprimaniche +1.
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Incanta Coprimaniche +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Incantare Coprimaniche +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Incantare Coprimaniche Forti.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Incantare Coprimaniche Forti.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Incanta Coprimaniche di Tiro.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Incanta Coprimanico di Tiro.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Alabarda primaria
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Balestra a mano primaria
Item/&CraftingManualRecipePrimingCELongMaceTitle	Prima mazza lunga
Item/&CraftingManualRecipePrimingCEPikeTitle	Picca primaria
Item/&ForceArtilleryProjectileDescription	ForzaArtiglieriaProiettile.
Item/&ForceArtilleryProjectileTitle	ForzaArtiglieriaProiettile
Item/&Handwraps+1Title	Fasce da mano +1
Item/&Handwraps+1UnidentifiedTitle	Coprimanico di buona qualitÃ 
Item/&Handwraps+2Title	Coprimanico +2
Item/&Handwraps+2UnidentifiedTitle	Coprimanico magnifico
Item/&HandwrapsOfForceTitle	Impugnature di forza
Item/&HandwrapsOfForceUnidentifiedTitle	Impacchi magnifici
Item/&HandwrapsOfPullingTitle	Impacchi di trazione
Item/&HandwrapsOfPullingUnidentifiedTitle	Avvolgimenti magnifici
Language/&AbyssalDescription	Il linguaggio abissale era la forma di linguaggio primordiale che Ã¨ stata avvolta e contorta dal male dell'abisso.
Language/&AbyssalTitle	Abissale
Language/&GnomishLanguageDescription	Un'antica lingua solastana, conservata dagli gnomi che vivono nelle profonde foreste di Solasta, sopravvissuta al Cataclisma.
Language/&GnomishLanguageTitle	Gnomico
MainMenu/&ExportPdfDescription	Fai scendere di livello questo Eroe.
MainMenu/&ExportPdfTitle	Abbassare di livello
Message/&CharacterExportDuplicateNameErrorDescription	Esportazione annullata:\n\nUn eroe con questo nome esiste giÃ  nella riserva.\nProva con un altro nome.
Message/&CharacterExportEmptyNameErrorDescription	Esportazione annullata:\n\nProva con un nome non vuoto.
Message/&CharacterExportModalContentDescription	Inserire il nome dell'eroe da esportare:
Message/&CharacterExportModalTitleDescription	Esportazione personaggio.
Message/&LevelDownConfirmationDescription	Ridurre di livello questo Eroe?
Message/&LevelDownMultiplayerAbortDescription	Non Ã¨ possibile scendere di livello durante una sessione multigiocatore.
Message/&MessageModWelcomeDescription	La Community Expansion Mod Ã¨ ricca di funzioni interessanti, ma per impostazione predefinita non Ã¨ abilitata. Premete <color=giallo>Ctrl-F10</color> per aprire l'interfaccia Unity Mod Manager [UMM], quindi fate clic sull'icona delle impostazioni accanto a "Community Expansion" per aprire le pagine delle impostazioni.\n\n Esplorate le opzioni e selezionate quelle che preferite. A questo punto si aprirÃ  l'interfaccia UMM.
Message/&MessageModWelcomeTitle	Mod Espansione della comunitÃ 
Message/&RespecMultiplayerAbortDescription	Non Ã¨ possibile eseguire il Respec durante una sessione multigiocatore o sulla mappa di esplorazione.
Message/&SpawnCustomEncounterDescription	Generare incontri alle coordinate ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Non Ã¨ possibile generare incontri in una partita multigiocatore. Eppure...
Message/&SpawnCustomEncounterTitle	Incontro
Message/&TeleportPartyDescription	Teletrasporta il gruppo alle coordinate ({0}, {1})?\nPotresti interrompere le missioni o le mappe se ti teletrasporti in un luogo sconosciuto.
Message/&TeleportPartyTitle	Teletrasporto
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	L'arma utilizza il modificatore di Carisma per i tiri di attacco e di danno e conta come magica fino al riposo prolungato.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Anima potenziata
Modifier/&AttributeModifierRuinDescription	-3 alla Classe Armatura.
Modifier/&AttributeModifierRuinTitle	Rovinato
Modifier/&CripplingAdditionalDamageDescription	Danno invalidante.
Modifier/&CripplingAdditionalDamageTitle	Storpiatura
Modifier/&DisorientDescription	-1d6 ai tiri di attacco.
Modifier/&DisorientTitle	Disorientato
Monster/&DHCustomCouatlDescription	I Couatl sono esseri serpentini benevoli di grande intelletto e intuizione. Le loro ali dai colori brillanti e i loro modi gentili testimoniano le loro origini celestiali.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Familiare gufo.
Monster/&OwlFamiliarTitle	Gufo
Monster/&PactOfChainCustomImpDescription	I Folletti si trovano in tutto il Piano Inferiore, per svolgere commissioni per i loro padroni infernali, spiare i rivali o ingannare i mortali. Un Folletto servirÃ  con orgoglio un padrone malvagio di qualsiasi tipo, ma non si puÃ² fare affidamento su di lui per portare a termine i compiti con velocitÃ  o efficienza.
Monster/&PactOfChainCustomImpTitle	Folletto (Patto della Catena)
Monster/&PactOfChainCustomPseudodragonDescription	L'inafferrabile pseudodrago abita nei luoghi tranquilli del mondo, facendo la sua casa nelle cavitÃ  degli alberi e nelle piccole grotte. Con le sue scaglie verdi, le corna e una bocca piena di denti affilati, lo pseudodrago assomiglia a un piccolo drago verde, ma la sua indole Ã¨ giocosa.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodrago
Monster/&PactOfChainCustomQuasitDescription	I Quasit infestano i Piani inferiori. Fisicamente deboli, rimangono nell'ombra per tramare malefici e malvagitÃ . I demoni piÃ¹ potenti usano i quasit come spie e messaggeri quando non li divorano o li fanno a pezzi per passare il tempo.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Patto di Catena)
Monster/&PactOfChainCustomSpriteDescription	A differenza dei folletti, i folletti raramente si abbandonano a frivolezze e divertimenti. Sono guerrieri, protettori e giudici risoluti, e il loro carattere severo fa sÃ¬ che gli altri fey li considerino eccessivamente cupi e seri. Tuttavia, i fey che rispettano il territorio dei folletti li trovano alleati fedeli nei momenti di difficoltÃ .
Monster/&PactOfChainCustomSpriteTitle	Sprite (Patto della Catena)
Monster/&WitchOwlFamiliarDescription	Familiare del Gufo.
Monster/&WitchOwlFamiliarTitle	Gufo
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 danni perforanti e il bersaglio deve riuscire a superare un tiro salvezza di Costituzione a DC 11 o rimanere avvelenato.
MonsterAttack/&AttackWarlockDragonStingTitle	Pungiglione velenoso
MonsterAttack/&AttackWarlockImpStingDescription	Pungiglione velenoso di un folletto.
MonsterAttack/&AttackWarlockImpStingTitle	Pungiglione velenoso
MonsterAttack/&AttackWarlockQuasitStingTitle	Pungiglione velenoso
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Danno perforante e il bersaglio deve superare un tiro salvezza di Costituzione a DC 13 o essere avvelenato per 24 ore. FinchÃ© il veleno non termina, il bersaglio Ã¨ incosciente.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Morso
Power/&AncientForestLifeSapDescription	Quando si danneggia un nemico con un incantesimo, si curano i CV pari a metÃ  del proprio livello una volta per turno. Se si Ã¨ al di sotto di metÃ  dei CV, si curano invece i CV pari al proprio livello, ma solo fino a metÃ  dei propri CV massimi.
Power/&AncientForestLifeSapTitle	Linfa vitale
Power/&AncientForestRootedPowerDescription	Dai vostri piedi spuntano viticci arborei che scavano nel terreno. La velocitÃ  diventa pari a 0 e si ottiene un vantaggio nei tiri salvezza per spingervi, tirarvi o farvi cadere a terra.
Power/&AncientForestRootedPowerTitle	Radicamento
Power/&ClassMonkDiamondSoulPowerDescription	Ogni volta che si effettua un tiro salvezza e si fallisce, si puÃ² spendere 1 punto ki per ripetere il tiro e prendere il secondo risultato.
Power/&ClassMonkDiamondSoulPowerTitle	Anima di diamante
Power/&ClassMonkEmptyBodyDescription	Potete usare la vostra azione per spendere 4 punti ki e diventare invisibili per 1 minuto. In questo lasso di tempo, si ha anche resistenza a tutti i danni tranne quelli della forza.
Power/&ClassMonkEmptyBodyTitle	Corpo vuoto
Power/&ClassMonkFlurryOfBlowsDescription	Dopo aver speso la propria azione per attaccare con un'arma da monaco, si puÃ² spendere 1 punto ki come azione bonus per sferrare 2 colpi senz'armi. Disponibile solo se non si indossa un'armatura o non si brandisce uno scudo.
Power/&ClassMonkFlurryOfBlowsTitle	Raffica di colpi
Power/&ClassMonkKiPoolDescription	Si puÃ² sfruttare l'energia mistica del ki. L'accesso a questa energia Ã¨ rappresentato da un numero di punti ki. La quantitÃ  massima Ã¨ pari al proprio livello di Monaco. Tutti i punti spesi vengono recuperati dopo un riposo breve o lungo. Questi punti possono essere utilizzati per alimentare varie caratteristiche del ki.
Power/&ClassMonkKiPoolTitle	Punti ki
Power/&ClassMonkKiStillnessOfMindDescription	Potete usare la vostra azione per porre fine a un effetto su di voi che vi incanta o vi spaventa.
Power/&ClassMonkKiStillnessOfMindTitle	ImmobilitÃ  mentale
Power/&ClassMonkOpenHandDistractDescription	Il bersaglio non puÃ² compiere reazioni fino alla fine del suo prossimo turno.
Power/&ClassMonkOpenHandDistractTitle	Distrazione
Power/&ClassMonkOpenHandProneDescription	Il bersaglio deve riuscire il tiro salvezza di Destrezza o essere messo a terra.
Power/&ClassMonkOpenHandProneTitle	Abbattere
Power/&ClassMonkOpenHandPushDescription	Il bersaglio deve riuscire il tiro salvezza di Forza o essere spinto a 15 piedi di distanza da lui.
Power/&ClassMonkOpenHandPushTitle	Spingere via
Power/&ClassMonkOpenHandTechniqueDescription	 Potete manipolare il ki del vostro nemico quando imbrigliate il vostro. Ogni volta che si colpisce una creatura con uno degli attacchi concessi dalla propria raffica di colpi, si puÃ² imporre a quel bersaglio uno dei seguenti effetti:\n- Deve riuscire un tiro salvezza di Destrezza o essere messo a terra.\n- Deve effettuare un tiro salvezza di Forza. Se fallisce, puÃ² essere spinto fino a 3 metri di distanza da voi.\n- Non puÃ² intraprendere reazioni fino alla fine del vostro prossimo turno.
Power/&ClassMonkOpenHandTechniqueTitle	Tecnica della mano aperta
Power/&ClassMonkPatientDefenseDescription	Si puÃ² spendere 1 punto ki come azione bonus per effettuare l'azione Schivare. Disponibile solo se non si indossa un'armatura o uno scudo.
Power/&ClassMonkPatientDefenseTitle	Difesa paziente
Power/&ClassMonkQuiveringPalmDescription	Quando si colpisce una creatura con un colpo senz'armi, si possono spendere 3 punti ki per far partire vibrazioni impercettibili che costringono la creatura a effettuare un tiro salvezza di Costituzione. Se fallisce, viene ridotta a 0 punti ferita. Se riesce, subisce 10d10 danni necrotici.
Power/&ClassMonkQuiveringPalmTitle	Palmo tremolante
Power/&ClassMonkSlowFallDescription	Quando si cade, si puÃ² usare la reazione per evitare i danni da caduta.
Power/&ClassMonkSlowFallTitle	Caduta lenta
Power/&ClassMonkStepOfTheWindDescription	Si puÃ² spendere 1 punto ki per effettuare l'azione Disimpegno o Fuga come azione bonus nel proprio turno, e la distanza di salto viene raddoppiata per il turno. Disponibile solo se non si indossa un'armatura o uno scudo.
Power/&ClassMonkStepOfTheWindTitle	Passo del vento
Power/&ClassMonkStunningStrikeDescription	Potete interferire con il flusso di ki nel corpo di un avversario. Quando si colpisce un'altra creatura non stordita con un attacco con arma da mischia, si puÃ² spendere 1 punto ki per tentare un colpo di stordimento. Il bersaglio deve superare un tiro salvezza di Costituzione o essere stordito fino alla fine del vostro turno successivo.
Power/&ClassMonkStunningStrikeTitle	Colpo di stordimento
Power/&ClassMonkTanquilityDescription	Una volta per riposo breve, come azione gratuita, potete entrare in uno stato di tranquillitÃ , calmando le vostre emozioni e concentrandovi su ciÃ² che vi circonda. In questo stato si ottiene un vantaggio nei tiri salvezza contro gli incantesimi e i nemici hanno uno svantaggio quando ci attaccano. La tranquillitÃ  dura fino al prossimo riposo o finchÃ© non si attacca o si lancia un incantesimo.
Power/&ClassMonkTanquilityTitle	TranquillitÃ 
Power/&ClassMonkWholenessOfBodyDescription	Come azione, si possono recuperare punti ferita pari a tre volte il proprio livello di Monaco. Ãˆ necessario terminare un riposo lungo prima di poter utilizzare nuovamente questa caratteristica.
Power/&ClassMonkWholenessOfBodyTitle	IntegritÃ  del corpo
Power/&ClassMonkZenArcherFlurryOfArrowsDescription	Dopo aver speso un'azione per attaccare con un'arma da monaco, si possono spendere 2 punti ki come azione bonus per effettuare 2 attacchi con armi a distanza con un arco. Disponibile solo se non si indossa un'armatura o uno scudo.
