ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Perception and Intimidation.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Sleight of Hand, Stealth, and Deception.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicine and Persuasion.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Athletics and Intimidation.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Stealth, Deception, and Nature.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Survival and Nature.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Suggested Skills
FlexibleRaces/&PointPoolAbilityScore3Description	Use three boosts on ability scores in any combination of your choosing.
FlexibleRaces/&PointPoolAbilityScore3Title	Ability Score Increase
FlexibleRaces/&PointPoolAbilityScore4Description	Use four boosts on ability scores in any combination of your choosing.
FlexibleRaces/&PointPoolAbilityScore4Title	Ability Score Increase
Format/&LevelAndExperienceFormat	Level: {0}\nExperience: {1}\n{2} points required to reach level {3}
Format/&LevelAndExperienceMaxedFormat	Level: {0}\nExperience: {1}\nmax level reached
Item/&CEHalberd+1Title	Halberd +1
Item/&CEHalberd+1UnidentifiedTitle	Quality Halberd
Item/&CEHalberd+2Title	Halberd +2
Item/&CEHalberd+2UnidentifiedTitle	Magnificent Halberd
Item/&CEHalberdLightningTitle	Lightning Halberd 
Item/&CEHalberdLightningUnidentifiedTitle	Magnificent Halberd 
Item/&CEHalberdPrimedTitle	Primed Halberd
Item/&CEHalberdTitle	Halberd
Item/&CEHandXbow+1Title	Hand Crossbow +1
Item/&CEHandXbow+1UnidentifiedTitle	Quality Hand Crossbow
Item/&CEHandXbow+2Title	Hand Crossbow +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnificent Hand Crossbow
Item/&CEHandXbowAcidTitle	Acidic Hand Crossbow
Item/&CEHandXbowAcidUnidentifiedTitle	Magnificent Hand Crossbow
Item/&CEHandXbowPrimedTitle	Primed Hand Crossbow
Item/&CEHandXbowTitle	Hand Crossbow
Item/&CELongMace+1Title	Long Mace +1
Item/&CELongMace+1UnidentifiedTitle	Quality Long Mace
Item/&CELongMace+2Title	Long Mace +2
Item/&CELongMace+2UnidentifiedTitle	Magnificent Long Mace
Item/&CELongMacePrimedTitle	Primed Long Mace
Item/&CELongMaceThunderTitle	Thundering Long Mace
Item/&CELongMaceThunderUnidentifiedTitle	Magnificent Long Mace
Item/&CELongMaceTitle	Long Mace
Item/&CEPike+1Title	Pike +1
Item/&CEPike+1UnidentifiedTitle	Quality Pike
Item/&CEPike+2Title	Pike +2
Item/&CEPike+2UnidentifiedTitle	Magnificent Pike
Item/&CEPikePrimedTitle	Primed Pike
Item/&CEPikePsychicTitle	Psychic Pike
Item/&CEPikePsychicUnidentifiedTitle	Magnificent Pike
Item/&CEPikeTitle	Pike
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Enchant Halberd +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Enchant Halberd +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Enchant Lightning Halberd 
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Enchant Hand Crossbow +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Enchant Hand Crossbow +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Enchant Acidic Hand Crossbow
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Enchant Long Mace +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Enchant Long Mace +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Enchant Thundering Long Mace
Item/&CraftingManualRecipeEnchantCEPike+1Title	Enchant Pike +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Enchant Pike +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Enchant Psychic Pike
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Enchant Handwraps +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Enchant Handwraps +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Enchant Handwraps +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Enchant Handwraps +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Enchant Forceful Handwraps.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Enchant Forceful Handwraps
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Enchant Handwraps Of Pulling.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Enchant Handwraps Of Pulling
Item/&CraftingManualRecipePrimingCEHalberdTitle	Prime Halberd
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Prime Hand Crossbow
Item/&CraftingManualRecipePrimingCELongMaceTitle	Prime Long Mace
Item/&CraftingManualRecipePrimingCEPikeTitle	Prime Pike
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Handwraps +1
Item/&Handwraps+1UnidentifiedTitle	Good Quality Handwraps
Item/&Handwraps+2Title	Handwraps +2
Item/&Handwraps+2UnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfForceTitle	Forceful Handwraps
Item/&HandwrapsOfForceUnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfPullingTitle	Handwraps Of Pulling
Item/&HandwrapsOfPullingUnidentifiedTitle	Magnificent Handwraps
Language/&AbyssalDescription	Abyssal language was the form of primordial language which has been wrapped and twisted by the evil of the abyss.
Language/&AbyssalTitle	Abyssal
Language/&GnomishLanguageDescription	An old Solastan language, preserved by gnomes living in deep forests of Solasta, it has survived the Cataclysm.
Language/&GnomishLanguageTitle	Gnomish
MainMenu/&ExportPdfDescription	Level down this Hero.
MainMenu/&ExportPdfTitle	Level Down
Message/&CharacterExportDuplicateNameErrorDescription	Export Cancelled:\n\nA hero with this name already exists in the pool.\nPlease try a different name.
Message/&CharacterExportEmptyNameErrorDescription	Export Cancelled:\n\nPlease try a non empty name.
Message/&CharacterExportModalContentDescription	Enter the hero name to export:
Message/&CharacterExportModalTitleDescription	Character Export.
Message/&LevelDownConfirmationDescription	Level down this Hero?
Message/&LevelDownMultiplayerAbortDescription	Cannot Level Down during a multiplayer session.
Message/&MessageModWelcomeDescription	The Community Expansion Mod is packed full of exciting features, but by default none are enabled. Press <color=yellow>Ctrl-F10</color> to open the Unity Mod Manager UI [UMM], then click on the settings icon next to 'Community Expansion' to open the settings pages.\n\n Explore the options and select the ones you like. The UMM UI will now open.
Message/&MessageModWelcomeTitle	Community Expansion Mod
Message/&RespecMultiplayerAbortDescription	Cannot Respec during a multiplayer session or on exploration map.
Message/&SpawnCustomEncounterDescription	Spawn encounter at coordinates ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Cannot spawn encounters on a multiplayer game. Yet...
Message/&SpawnCustomEncounterTitle	Encounter
Message/&TeleportPartyDescription	Teleport party to coordinates ({0}, {1})?\nYou might break quests or maps if you teleport to an undiscovered place.
Message/&TeleportPartyTitle	Teleport
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	Weapon uses Charisma modifier for attack and damage rolls and counts as magical until long rest.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Soul Empowered
Modifier/&AttributeModifierRuinDescription	-3 to Armor Class.
Modifier/&AttributeModifierRuinTitle	Ruined
Modifier/&CripplingAdditionalDamageDescription	Crippling Damage.
Modifier/&CripplingAdditionalDamageTitle	Crippling
Modifier/&DisorientDescription	-1d6 to attack rolls.
Modifier/&DisorientTitle	Disoriented
Monster/&DHCustomCouatlDescription	Couatls are benevolent serpentine beings of great intellect and insight. Their brilliantly colored wings and gentle manner speak to their celestial origins.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Owl Familiar.
Monster/&OwlFamiliarTitle	Owl
Monster/&PactOfChainCustomImpDescription	Imps are found throughout the Lower Planes, either running errands for their infernal masters, spying on rivals, or misleading and waylaying mortals. An imp will proudly serve an evil master of any kind, but it can't be relied on to carry out tasks with any speed or efficiency.
Monster/&PactOfChainCustomImpTitle	Imp (Pact of Chain)
Monster/&PactOfChainCustomPseudodragonDescription	The elusive pseudodragon dwells in the quiet places of the world, making its home in the hollows of trees and small caves. With its green scales, horns, and a maw filled with sharp teeth, a pseudodragon resembles a tiny green dragon but its disposition is playful.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragon
Monster/&PactOfChainCustomQuasitDescription	Quasits infest the Lower Planes. Physically weak, they keep to the shadows to plot mischief and wickedness. More powerful demons use quasits as spies and messengers when they aren't devouring them or pulling them apart to pass the time.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pact of Chain)
Monster/&PactOfChainCustomSpriteDescription	Unlike pixies, sprites rarely indulge in frivolous merriment and fun. They are firm warriors, protectors, and judges, and their stern bent causes other fey to consider them overly dour and serious. However, fey that respect the sprites' territory find them staunch allies in times of trouble.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pact of Chain)
Monster/&WitchOwlFamiliarDescription	Owl Familiar.
Monster/&WitchOwlFamiliarTitle	Owl
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 piercing damage and target must succeed on a DC 11 Constitution saving throw or become poisoned.
MonsterAttack/&AttackWarlockDragonStingTitle	Poisonous Sting
MonsterAttack/&AttackWarlockImpStingDescription	Poisonous sting of an imp.
MonsterAttack/&AttackWarlockImpStingTitle	Poisonous Sting
MonsterAttack/&AttackWarlockQuasitStingTitle	Poisonous Sting
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Bite
Power/&AncientForestLifeSapDescription	When you damage an enemy with a spell, you heal HP equal to half your level once per turn. If you are below half HP, you instead heal HP equal to your level instead, but only up to half of your maximum HP.
Power/&AncientForestLifeSapTitle	Life Sap
Power/&AncientForestRootedPowerDescription	Arboreal tendrils grow from your feet and dig into the ground. Your speed becomes 0, and you gain advantage on any saving throws to push you, pull you, or knock you prone.You can cast entangle at will.
Power/&AncientForestRootedPowerTitle	Rooted
Power/&ClassMonkDiamondSoulPowerDescription	Whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result.
Power/&ClassMonkDiamondSoulPowerTitle	Diamond Soul
Power/&ClassMonkEmptyBodyDescription	You can use your action to spend 4 ki points to become invisible for 1 minute. During that time, you also have resistance to all damage but force damage.
Power/&ClassMonkEmptyBodyTitle	Empty Body
Power/&ClassMonkFlurryOfBlowsDescription	After spending your action to attack with Monk weapon, you can spend 1 ki point as a bonus action to do 2 unarmed strikes. Only available if you are not wearing armor or wielding a shield.
Power/&ClassMonkFlurryOfBlowsTitle	Flurry of Blows
Power/&ClassMonkKiPoolDescription	You can harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Maximum amount is equal to your Monk level. All spent points are regained on short or long rest. You can spend these points to fuel various ki features.
Power/&ClassMonkKiPoolTitle	Ki Points
Power/&ClassMonkKiStillnessOfMindDescription	You can use your action to end one effect on yourself that is causing you to be charmed or frightened.
Power/&ClassMonkKiStillnessOfMindTitle	Stillness of Mind
Power/&ClassMonkOpenHandDistractDescription	Target can't take reactions until end of your next turn.
Power/&ClassMonkOpenHandDistractTitle	Distract
Power/&ClassMonkOpenHandProneDescription	Target must succeed Dexterity saving throw or be knocked prone.
Power/&ClassMonkOpenHandProneTitle	Knock Down
Power/&ClassMonkOpenHandPushDescription	Target must succeed Strength saving throw or be pushed 15 feet away from you.
Power/&ClassMonkOpenHandPushTitle	Push Away
Power/&ClassMonkOpenHandTechniqueDescription	 You can manipulate your enemy's ki when you harness your own. Whenever you hit a creature with one of the attacks granted by your Flurry of Blows, you can impose one of the following effects on that target:\n• It must succeed on a Dexterity saving throw or be knocked prone.\n• It must make a Strength saving throw. If it fails, you can push it up to 15 feet away from you.\n• It can't take reactions until the end of your next turn.
Power/&ClassMonkOpenHandTechniqueTitle	Open Hand Technique
Power/&ClassMonkPatientDefenseDescription	You can spend 1 ki point as a bonus action to take the Dodge action. Only available if you are not wearing armor or shield.
Power/&ClassMonkPatientDefenseTitle	Patient Defense
Power/&ClassMonkQuiveringPalmDescription	When you hit a creature with an unarmed strike, you can spend 3 ki points to start imperceptible vibrations that force creature to make a Constitution saving throw. If it fails, it is reduced to 0 hit points. If it succeeds, it takes 10d10 necrotic damage.
Power/&ClassMonkQuiveringPalmTitle	Quivering Palm
Power/&ClassMonkSlowFallDescription	You can use your reaction when you fall to prevent any falling damage.
Power/&ClassMonkSlowFallTitle	Slow Fall
Power/&ClassMonkStepOfTheWindDescription	You can spend 1 ki point to take the Disengage or Dash action as a bonus action on your turn, and your jump distance is doubled for the turn. Only available if you are not wearing armor or shield.
