ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Feedback/&ExtraDamageDescription	Zusätzlicher Schaden durch Blitzspeer.
Feedback/&ExtraDamageTitle	Zusätzlicher Blitzspeer-Schaden
Feedback/&LightningSpearAdditionalDamageDescription	Verursacht einmal pro Runde zusätzlich 1d6 Blitzschaden.
Feedback/&LightningSpearAdditionalDamageTitle	Blitzspeer-Extra-Schaden
Feedback/&NotifyEffectResonatingStrikeLine	{0} schwingt {1}!
FightingStyle/&BlindFightingDescription	Du hast eine Blindheitssicht mit einer Reichweite von 10 Fuß.
FightingStyle/&BlindFightingTitle	Blindes Kämpfen
FightingStyle/&CripplingDescription	Wenn du mit einem Nahkampfangriff triffst, kannst du die Geschwindigkeit deines Gegners bis zum Beginn deines nächsten Zuges um 10 Fuß verringern.
FightingStyle/&CripplingTitle	Verkrüppeln
FightingStyle/&PugilistFightingDescription	Deine unbewaffneten Schläge verursachen zusätzlich 1d4 Hiebschaden und du kannst mit deiner freien Hand als Bonusaktion zuschlagen. Wenn du eine freie Hand hast, kannst du als Bonusaktion stoßen.
FightingStyle/&PugilistFightingTitle	Pugilist
FightingStyle/&TitanFightingDescription	Du erhältst einen Trefferwert von +2 gegen Kreaturen der Größe Large oder größer.
FightingStyle/&TitanFightingTitle	Titanenkampf
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arkana, Natur und Einsicht.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Natur und Einsicht.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Geschichte, Überredung und Einschüchterung.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Wähle 2 Fertigkeitsprofile.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Fertigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Wähle 3 Fertigkeitsprofile.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Fertigkeiten
FlexibleBackgrounds/&BackgroundToolSelect2Description	Wähle 2 Werkzeug-Professionalitäten.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Werkzeuge
FlexibleBackgrounds/&BackgroundToolSelectDescription	Wähle eine Werkzeug-Fähigkeit.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Werkzeug
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Wahrnehmung und Einschüchterung.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Geschicklichkeit, Schleichen und Täuschung.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medizin und Überredung.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Athletik und Einschüchterung.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Schleichen, Täuschung und Natur.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Überleben und Natur.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Vorgeschlagene Fertigkeiten
FlexibleRaces/&PointPoolAbilityScore3Description	Nutze drei Erhöhungen von Fähigkeitswerten in einer beliebigen Kombination deiner Wahl.
FlexibleRaces/&PointPoolAbilityScore3Title	Erhöhung der Fähigkeitspunkte
FlexibleRaces/&PointPoolAbilityScore4Description	Verwende vier Verstärkungen auf Fähigkeitswertungen in einer beliebigen Kombination deiner Wahl.
FlexibleRaces/&PointPoolAbilityScore4Title	Erhöhung der Fähigkeitspunkte
Format/&LevelAndExperienceFormat	Stufe: {0}\nErfahrung: {1}\n{2} Punkte erforderlich, um Stufe {3} zu erreichen
Format/&LevelAndExperienceMaxedFormat	Stufe: {0}\nErfahrung: {1}\nMaximalstufe erreicht
Item/&CEHalberd+1Title	Hellebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Qualität Hellebarde
Item/&CEHalberd+2Title	Hellebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdLightningTitle	Blitz-Hellebarde
Item/&CEHalberdLightningUnidentifiedTitle	Prächtige Hellebarde
Item/&CEHalberdPrimedTitle	Grundierte Hellebarde
Item/&CEHalberdTitle	Hellebarde
Item/&CEHandXbow+1Title	Hand-Armbrust +1
Item/&CEHandXbow+1UnidentifiedTitle	Qualitäts-Handarmbrust
Item/&CEHandXbow+2Title	Handarmbrust +2
Item/&CEHandXbow+2UnidentifiedTitle	Prächtige Handarmbrust
Item/&CEHandXbowAcidTitle	Armbrust der sauren Hand
Item/&CEHandXbowAcidUnidentifiedTitle	Prächtige Hand-Armbrust
Item/&CEHandXbowPrimedTitle	Grundierte Hand-Armbrust
Item/&CEHandXbowTitle	Hand-Armbrust
Item/&CELongMace+1Title	Langer Streitkolben +1
Item/&CELongMace+1UnidentifiedTitle	Langer Streitkolben Qualität
Item/&CELongMace+2Title	Langer Streitkolben +2
Item/&CELongMace+2UnidentifiedTitle	Prächtiger Streitkolben
Item/&CELongMacePrimedTitle	Geschärfter Streitkolben
Item/&CELongMaceThunderTitle	Donnernder Streitkolben
Item/&CELongMaceThunderUnidentifiedTitle	Prächtiger Streitkolben
Item/&CELongMaceTitle	Langer Streitkolben
Item/&CEPike+1Title	Hecht +1
Item/&CEPike+1UnidentifiedTitle	Qualitätshechtling
Item/&CEPike+2Title	Hecht +2
Item/&CEPike+2UnidentifiedTitle	Prächtige Pike
Item/&CEPikePrimedTitle	Primed Pike
Item/&CEPikePsychicTitle	Psychischer Hecht
Item/&CEPikePsychicUnidentifiedTitle	Prächtiger Hecht
Item/&CEPikeTitle	Hecht
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Hellebarde verzaubern +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Hellebarde verzaubern +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Blitz-Hellebarde verzaubern
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Handarmbrust verzaubern +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Handarmbrust +2 verzaubern
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Armbrust der sauren Hand verzaubern
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Langer Streitkolben +1 verzaubern
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Langer Streitkolben +2 verzaubern
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Langer Streitkolben "Donnernd" verzaubern
Item/&CraftingManualRecipeEnchantCEPike+1Title	Verzaubern Hecht +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Verzauberung Pike +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Enchant Psychic Pike
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Verzauberung Handfesseln +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Handfesseln verzaubern +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Enchant Handwraps +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Verzaubern Handfesseln +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Kraftvolle Handfesseln verzaubern.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Kraftvolle Handschlaufen verzaubern
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Handschlaufen des Ziehens verzaubern.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Handfesseln des Ziehens verzaubern
Item/&CraftingManualRecipePrimingCEHalberdTitle	Erstklassige Hellebarde
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Hochwertige Hand-Armbrust
Item/&CraftingManualRecipePrimingCELongMaceTitle	Erster Langer Streitkolben
Item/&CraftingManualRecipePrimingCEPikeTitle	Primäre Pike
Item/&ForceArtilleryProjectileDescription	KraftArtillerieProjektil.
Item/&ForceArtilleryProjectileTitle	KraftArtillerieGeschoss
Item/&Handwraps+1Title	Handschellen +1
Item/&Handwraps+1UnidentifiedTitle	Handfesseln guter Qualität
Item/&Handwraps+2Title	Handfesseln +2
Item/&Handwraps+2UnidentifiedTitle	Prächtige Handschellen
Item/&HandwrapsOfForceTitle	Kraftvolle Handschlaufen
Item/&HandwrapsOfForceUnidentifiedTitle	Prächtige Handschlaufen
Item/&HandwrapsOfPullingTitle	Handschlaufen des Ziehens
Item/&HandwrapsOfPullingUnidentifiedTitle	Prächtige Handschlingen
Language/&AbyssalDescription	Die Abyssal-Sprache war die Form der Ursprache, die vom Bösen des Abysses umhüllt und verdreht wurde.
Language/&AbyssalTitle	Abyssal
Language/&GnomishLanguageDescription	Eine alte solastanische Sprache, die von Gnomen bewahrt wurde, die in den tiefen Wäldern von Solasta leben, und die den Kataklysmus überlebt hat.
Language/&GnomishLanguageTitle	Gnomisch
MainMenu/&ExportPdfDescription	Stufen Sie diesen Helden herab.
MainMenu/&ExportPdfTitle	Herabstufen
Message/&CharacterExportDuplicateNameErrorDescription	Export abgebrochen:\n\nEin Held mit diesem Namen existiert bereits im Pool.\nBitte versuche einen anderen Namen.
Message/&CharacterExportEmptyNameErrorDescription	Export abgebrochen:\n\nBitte versuche es mit einem nicht leeren Namen.
Message/&CharacterExportModalContentDescription	Geben Sie den zu exportierenden Heldennamen ein:
Message/&CharacterExportModalTitleDescription	Charakter-Export.
Message/&LevelDownConfirmationDescription	Diesen Helden herabstufen?
Message/&LevelDownMultiplayerAbortDescription	Der Held kann während einer Multiplayer-Sitzung nicht herabgestuft werden.
Message/&MessageModWelcomeDescription	Die Community Expansion Mod ist vollgepackt mit aufregenden Features, aber standardmäßig sind keine aktiviert. Drücke <color=yellow>Strg-F10</color>, um die Unity Mod Manager UI [UMM] zu öffnen, und klicke dann auf das Einstellungssymbol neben 'Community Expansion', um die Einstellungsseiten zu öffnen.\n\n Erkunde die Optionen und wähle die aus, die dir gefallen. Die UMM-Benutzeroberfläche wird nun geöffnet.
Message/&MessageModWelcomeTitle	Gemeinschaftserweiterung Mod
Message/&RespecMultiplayerAbortDescription	Während einer Multiplayer-Sitzung oder auf einer Erkundungskarte ist kein Respec möglich.
Message/&SpawnCustomEncounterDescription	Begegnung an den Koordinaten ({0}, {1}) spawnen?
Message/&SpawnCustomEncounterErrorDescription	Es können keine Begegnungen in einem Multiplayerspiel gespawnt werden. Dennoch...
Message/&SpawnCustomEncounterTitle	Begegnungen
Message/&TeleportPartyDescription	Gruppe zu den Koordinaten ({0}, {1}) teleportieren?\nSie könnten Quests oder Karten zerstören, wenn Sie zu einem unentdeckten Ort teleportieren.
Message/&TeleportPartyTitle	Teleportieren
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	Die Waffe verwendet den Charisma-Modifikator für Angriffs- und Schadenswürfe und gilt bis zu einer langen Pause als magisch.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Seele gestärkt
Modifier/&AttributeModifierRuinDescription	-3 auf Rüstungsklasse.
Modifier/&AttributeModifierRuinTitle	Ruiniert
Modifier/&CripplingAdditionalDamageDescription	Verkrüppelnder Schaden.
Modifier/&CripplingAdditionalDamageTitle	Verkrüppelung
Modifier/&DisorientDescription	-1d6 auf Angriffswürfe.
Modifier/&DisorientTitle	Desorientiert
Monster/&DHCustomCouatlDescription	Couatls sind wohlwollende, schlangenartige Wesen mit großem Intellekt und Einsicht. Ihre leuchtend bunten Flügel und ihr sanftes Wesen sprechen für ihre himmlische Herkunft.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Eulen-Vertrauter.
Monster/&OwlFamiliarTitle	Eule
Monster/&PactOfChainCustomImpDescription	Kobolde sind überall in den unteren Ebenen anzutreffen, wo sie entweder Botengänge für ihre höllischen Herren erledigen, Rivalen ausspionieren oder Sterbliche in die Irre führen und in die Irre führen. Ein Kobold ist stolz darauf, einem bösen Meister jeglicher Art zu dienen, aber man kann sich nicht darauf verlassen, dass er seine Aufgaben schnell und effizient erledigt.
Monster/&PactOfChainCustomImpTitle	Kobold (Pakt der Kette)
Monster/&PactOfChainCustomPseudodragonDescription	Der schwer fassbare Pseudodrache lebt an den stillen Orten der Welt, in den Höhlen der Bäume und in kleinen Höhlen. Mit seinen grünen Schuppen, Hörnern und einem mit scharfen Zähnen gefüllten Maul ähnelt der Pseudodrache einem winzigen grünen Drachen, doch sein Wesen ist verspielt.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodrache
Monster/&PactOfChainCustomQuasitDescription	Quasits bevölkern die unteren Ebenen. Sie sind körperlich schwach und halten sich in den Schatten auf, um Unheil und Bosheit zu stiften. Mächtigere Dämonen benutzen Quasits als Spione und Boten, wenn sie sie nicht gerade verschlingen oder auseinanderreißen, um sich die Zeit zu vertreiben.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pakt der Kette)
Monster/&PactOfChainCustomSpriteDescription	Anders als Kobolde geben sich Kobolde nur selten frivoler Fröhlichkeit und Spaß hin. Sie sind entschlossene Krieger, Beschützer und Richter, und ihre strenge Gesinnung veranlasst andere Feen, sie als übermäßig mürrisch und ernst zu betrachten. Fey, die das Territorium der Sprites respektieren, finden in ihnen jedoch treue Verbündete in Zeiten der Not.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pakt der Kette)
Monster/&WitchOwlFamiliarDescription	Vertrauter der Eule.
Monster/&WitchOwlFamiliarTitle	Eule
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 durchstechender Schaden und das Ziel muss einen Konstitutionsschutzwurf von DC 11 bestehen oder wird vergiftet.
MonsterAttack/&AttackWarlockDragonStingTitle	Giftiger Stachel
MonsterAttack/&AttackWarlockImpStingDescription	Giftiger Stachel eines Kobolds.
MonsterAttack/&AttackWarlockImpStingTitle	Giftiger Stachel
MonsterAttack/&AttackWarlockQuasitStingTitle	Giftiger Stachel
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Stechender Schaden und das Ziel muss einen Konstitutions-Erhaltungswurf von DC 13 bestehen oder wird für 24 Stunden vergiftet. Bis das Gift endet, ist das Ziel bewusstlos.
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Biss
Power/&AncientForestLifeSapDescription	Wenn du einem Feind mit einem Zauber Schaden zufügst, heilst du einmal pro Runde HP in Höhe der Hälfte deiner Stufe. Wenn du weniger als die Hälfte deiner HP hast, heilst du stattdessen HP in Höhe deiner Stufe, jedoch nur bis zur Hälfte deiner maximalen HP.
Power/&AncientForestLifeSapTitle	Lebenssaft
Power/&AncientForestRootedPowerDescription	Baumartige Ranken wachsen aus deinen Füßen und graben sich in den Boden. Deine Geschwindigkeit wird auf 0 reduziert, und du erhältst einen Vorteil bei allen Schutzwürfen, die dich schubsen, ziehen oder auf den Boden werfen.
Power/&AncientForestRootedPowerTitle	Verwurzelt
Power/&ClassMonkDiamondSoulPowerDescription	Immer wenn du einen Rettungswurf machst und dieser misslingt, kannst du 1 Ki-Punkt ausgeben, um den Wurf zu wiederholen und das zweite Ergebnis zu nehmen.
Power/&ClassMonkDiamondSoulPowerTitle	Diamantseele
Power/&ClassMonkEmptyBodyDescription	Du kannst deine Aktion nutzen, um 4 Ki-Punkte auszugeben, um für 1 Minute unsichtbar zu werden. Während dieser Zeit bist du außerdem resistent gegen jeglichen Schaden außer Kraftschaden.
Power/&ClassMonkEmptyBodyTitle	Leerer Körper
Power/&ClassMonkFlurryOfBlowsDescription	Nachdem du deine Aktion für einen Angriff mit einer Mönchswaffe ausgegeben hast, kannst du 1 Ki-Punkt als Bonusaktion ausgeben, um 2 unbewaffnete Schläge auszuführen. Nur verfügbar, wenn du keine Rüstung trägst oder einen Schild führst.
Power/&ClassMonkFlurryOfBlowsTitle	Flut von Schlägen
Power/&ClassMonkKiPoolDescription	Du kannst dir die mystische Energie des Ki zunutze machen. Dein Zugang zu dieser Energie wird durch eine Anzahl von Ki-Punkten dargestellt. Die maximale Anzahl entspricht der Stufe deines Mönchs. Alle verbrauchten Punkte werden bei einer kurzen oder langen Ruhepause wiederhergestellt. Du kannst diese Punkte ausgeben, um verschiedene Ki-Funktionen zu nutzen.
Power/&ClassMonkKiPoolTitle	Ki-Punkte
Power/&ClassMonkKiStillnessOfMindDescription	Du kannst deine Aktion nutzen, um einen Effekt zu beenden, der dich verzaubert oder verängstigt.
Power/&ClassMonkKiStillnessOfMindTitle	Geistesstille
Power/&ClassMonkOpenHandDistractDescription	Das Ziel kann bis zum Ende deines nächsten Zuges keine Reaktionen ausführen.
Power/&ClassMonkOpenHandDistractTitle	Ablenken
Power/&ClassMonkOpenHandProneDescription	Das Ziel muss einen Schutzwurf auf Geschicklichkeit bestehen oder wird am Boden liegend niedergeschlagen.
Power/&ClassMonkOpenHandProneTitle	Niederschlagen
Power/&ClassMonkOpenHandPushDescription	Das Ziel muss einen Schutzwurf in Stärke bestehen oder es wird 15 Fuß von dir weggestoßen.
Power/&ClassMonkOpenHandPushTitle	Wegstoßen
Power/&ClassMonkOpenHandTechniqueDescription	Du kannst das Ki deines Gegners manipulieren, wenn du dir dein eigenes zunutze machst. Immer, wenn du eine Kreatur mit einem der Angriffe aus deinem Schlagabtausch triffst, kannst du dem Ziel einen der folgenden Effekte auferlegen:\n- Es muss einen Rettungswurf in Geschicklichkeit bestehen oder zu Boden gestoßen werden. Wenn er misslingt, kannst du es bis zu 15 Fuß von dir wegstoßen. \n- Es kann bis zum Ende deines nächsten Zuges keine Reaktionen ausführen.
Power/&ClassMonkOpenHandTechniqueTitle	Technik der offenen Hand
Power/&ClassMonkPatientDefenseDescription	Du kannst 1 Ki-Punkt als Bonusaktion ausgeben, um die Aktion Ausweichen auszuführen. Nur verfügbar, wenn du weder Rüstung noch Schild trägst.
Power/&ClassMonkPatientDefenseTitle	Geduldige Verteidigung
Power/&ClassMonkQuiveringPalmDescription	Wenn du eine Kreatur mit einem unbewaffneten Schlag triffst, kannst du 3 Ki-Punkte ausgeben, um unmerkliche Vibrationen auszulösen, die die Kreatur zwingen, einen Konstitutionsschutzwurf zu machen. Scheitert sie, wird sie auf 0 Trefferpunkte reduziert. Gelingt er, erleidet es 10d10 nekrotischen Schaden.
Power/&ClassMonkQuiveringPalmTitle	Bebende Hand
Power/&ClassMonkSlowFallDescription	Du kannst deine Reaktion einsetzen, wenn du fällst, um Fallschaden zu verhindern.
Power/&ClassMonkSlowFallTitle	Langsamer Fall
Power/&ClassMonkStepOfTheWindDescription	Du kannst 1 Ki-Punkt ausgeben, um in deinem Zug die Aktion Ausweichen oder Springen als Bonusaktion auszuführen, und deine Sprungweite wird für diese Runde verdoppelt. Nur verfügbar, wenn du weder Rüstung noch Schild trägst.
Power/&ClassMonkStepOfTheWindTitle	Schritt des Windes
Power/&ClassMonkStunningStrikeDescription	Du kannst den Fluss des Ki im Körper eines Gegners stören. Wenn du eine andere Kreatur, die nicht betäubt ist, mit einem Nahkampfangriff triffst, kannst du 1 Ki-Punkt ausgeben, um einen Betäubungsschlag zu versuchen. Das Ziel muss einen Konstitutionsschutzwurf bestehen oder bis zum Ende deines nächsten Zuges betäubt sein.
