ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Golpe luminoso inflige daño adicional al objetivo.
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Arma cegadora
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Daño adicional e intento de aplicar Ceguera de Arma cegadora.
Feedback/&AdditionalDamageEldritchSmiteFormat	¡Golpe de los dioses!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} golpea a {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Daño elemental
Feedback/&AdditionalDamageElementalDamageLine	La forma elemental otorga daño adicional
Feedback/&AdditionalDamageLightningSpearFormat	¡Lanza del rayo!
Feedback/&AdditionalDamageLightningSpearLine	{0} Golpea a {1} con una lanza de rayos. (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	¡Marca de pacto!
Feedback/&AdditionalDamagePactMarkedLine	¡La marca del pacto hace daño adicional!
Feedback/&AdditionalDamagePactSoulTakerFormat	¡Tomador de almas!
Feedback/&AdditionalDamagePactSoulTakerLine	¡El tomador de almas hace daño adicional!
Feedback/&AdditionalDamageResonatingStrikeFormat	¡Golpe resonante!
Feedback/&AdditionalDamageResonatingStrikeLine	¡{0} resuena {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	¡Alma potenciada!
Feedback/&AdditionalDamageSoulEmpoweredLine	¡Alma Potenciada hace daño adicional!
Feedback/&AdditionalDamageSunlightBladeFormat	¡Cuchilla iluminada por el sol!
Feedback/&AdditionalDamageSunlightBladeLine	{0} ¡Quema {1} con la Cuchilla del Sol! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Daño mejorado
Feedback/&AdditionalDamageUpgradedConstructLine	La construcción mejorada inflige 1d8 más de daño por golpe.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} crea {1}
Feedback/&ExtraDamageDescription	Daño extra de Lanza de rayos.
Feedback/&ExtraDamageTitle	Daño extra de la Lanza de rayos
Feedback/&LightningSpearAdditionalDamageDescription	Inflige 1d6 de daño de rayo adicional una vez por turno.
Feedback/&LightningSpearAdditionalDamageTitle	Daño extra de Lanza de rayos
Feedback/&NotifyEffectResonatingStrikeLine	{0} resuena {1}
FightingStyle/&BlindFightingDescription	Tienes vista ciega con un alcance de 3 metros.
FightingStyle/&BlindFightingTitle	Lucha a ciegas
FightingStyle/&CripplingDescription	Al impactar con un ataque cuerpo a cuerpo, puedes reducir la velocidad de tu oponente en 10 pies hasta el inicio de tu siguiente turno.
FightingStyle/&CripplingTitle	Incapacitante
FightingStyle/&PugilistFightingDescription	Tus golpes sin armas infligen 1d4 de daño contundente adicional y puedes dar un puñetazo con tu mano libre como acción adicional.\N-Si tienes la mano libre, puedes empujar como acción adicional.
FightingStyle/&PugilistFightingTitle	Pugilista
FightingStyle/&TitanFightingDescription	Ganas un +2 al impacto contra criaturas de tamaño Grande o mayor.
FightingStyle/&TitanFightingTitle	Lucha de Titanes
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcanos, Naturaleza y Perspicacia.
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religión, Naturaleza y Perspicacia.
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Historia, Persuasión e Intimidación.
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Selecciona 2 competencias de habilidad.
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Habilidades
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Selecciona 3 habilidades.
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Habilidades
FlexibleBackgrounds/&BackgroundToolSelect2Description	Selecciona 2 competencias de herramientas.
FlexibleBackgrounds/&BackgroundToolSelect2Title	Herramientas
FlexibleBackgrounds/&BackgroundToolSelectDescription	Selecciona una competencia de herramienta.
FlexibleBackgrounds/&BackgroundToolSelectTitle	Herramienta
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Percepción e Intimidación.
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Juego de manos, Sigilo y Engaño.
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medicina y Persuasión.
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Atletismo e Intimidación.
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Sigilo, Engaño y Naturaleza.
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Supervivencia y Naturaleza.
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Habilidades sugeridas
FlexibleRaces/&PointPoolAbilityScore3Description	Utiliza tres aumentos en las puntuaciones de habilidad en cualquier combinación que elijas.
FlexibleRaces/&PointPoolAbilityScore3Title	Aumento de la puntuación de habilidad
FlexibleRaces/&PointPoolAbilityScore4Description	Utiliza cuatro aumentos en las puntuaciones de habilidad en cualquier combinación que elijas.
FlexibleRaces/&PointPoolAbilityScore4Title	Aumento de la puntuación de habilidad
Format/&LevelAndExperienceFormat	Nivel: {0}nExperiencia: {1}\n{2} puntos necesarios para alcanzar el nivel {3}
Format/&LevelAndExperienceMaxedFormat	Nivel: {0}nExperiencia: {1}nivel máximo alcanzado
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda de calidad
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdLightningTitle	Alabarda del Rayo
Item/&CEHalberdLightningUnidentifiedTitle	Alabarda magnífica
Item/&CEHalberdPrimedTitle	Alabarda de calidad
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Ballesta de mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Ballesta de mano de calidad
Item/&CEHandXbow+2Title	Ballesta de mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowAcidTitle	Ballesta de mano ácida
Item/&CEHandXbowAcidUnidentifiedTitle	Ballesta de mano magnífica
Item/&CEHandXbowPrimedTitle	Ballesta de mano con imprimación
Item/&CEHandXbowTitle	Ballesta de mano
Item/&CELongMace+1Title	Maza larga +1
Item/&CELongMace+1UnidentifiedTitle	Maza larga de calidad
Item/&CELongMace+2Title	Maza larga +2
Item/&CELongMace+2UnidentifiedTitle	Maza larga magnífica
Item/&CELongMacePrimedTitle	Maza Larga de Primado
Item/&CELongMaceThunderTitle	Maza larga atronadora
Item/&CELongMaceThunderUnidentifiedTitle	Maza larga magnífica
Item/&CELongMaceTitle	Maza larga
Item/&CEPike+1Title	Pica +1
Item/&CEPike+1UnidentifiedTitle	Pica de calidad
Item/&CEPike+2Title	Pica +2
Item/&CEPike+2UnidentifiedTitle	Pica magnífica
Item/&CEPikePrimedTitle	Piquete de Primado
Item/&CEPikePsychicTitle	Piqueta Psíquica
Item/&CEPikePsychicUnidentifiedTitle	Lucio Magnífico
Item/&CEPikeTitle	Pike
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Alabarda encantada +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Alabarda encantada +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Encantar alabarda de relámpago
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Encantar ballesta de mano +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Encantar ballesta de mano +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Encantar Ballesta de mano ácida
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Encantar Maza larga +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Encantar Maza larga +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Encantar Maza larga atronadora
Item/&CraftingManualRecipeEnchantCEPike+1Title	Encantar Pica +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Encantar pica +2
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Encantar Piqueta Psíquica
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Encantar Manos +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Enchant Handwraps +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Encantar envoltorios de mano +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Encantar Pañuelos +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Encantar Pañuelos de fuerza.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Encantar Pañuelos de Fuerza
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Encantar Pañuelos de tirón.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Enchant Handwraps Of Pulling
Item/&CraftingManualRecipePrimingCEHalberdTitle	Alabarda de primera
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Ballesta de mano de primera calidad
Item/&CraftingManualRecipePrimingCELongMaceTitle	Maza larga de primera
Item/&CraftingManualRecipePrimingCEPikeTitle	Pica de primera
Item/&ForceArtilleryProjectileDescription	FuerzaArtilleríaProyectil.
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Item/&Handwraps+1Title	Cintas de mano +1
Item/&Handwraps+1UnidentifiedTitle	Handwraps de buena calidad
Item/&Handwraps+2Title	Envoltorios de mano +2
Item/&Handwraps+2UnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfForceTitle	Volantes de fuerza
Item/&HandwrapsOfForceUnidentifiedTitle	Magníficos Pañuelos de Mano
Item/&HandwrapsOfPullingTitle	Pañuelos De Tiraje
Item/&HandwrapsOfPullingUnidentifiedTitle	Magníficos Envoltorios de Mano
Language/&AbyssalDescription	El lenguaje abisal era la forma del lenguaje primordial que ha sido envuelto y retorcido por el mal del abismo.
Language/&AbyssalTitle	Abisal
Language/&GnomishLanguageDescription	Una antigua lengua solastana, conservada por los gnomos que viven en los bosques profundos de Solasta, que ha sobrevivido al Cataclismo.
Language/&GnomishLanguageTitle	Gnomish
MainMenu/&ExportPdfDescription	Baja el nivel de este héroe.
MainMenu/&ExportPdfTitle	Bajar de nivel
Message/&CharacterExportDuplicateNameErrorDescription	Exportación cancelada:\NUn héroe con este nombre ya existe en el pool.\NPor favor, intenta con otro nombre.
Message/&CharacterExportEmptyNameErrorDescription	Exportación cancelada:\nPor favor, intente con un nombre no vacío.
Message/&CharacterExportModalContentDescription	Introduzca el nombre del héroe a exportar:
Message/&CharacterExportModalTitleDescription	Exportar personaje.
Message/&LevelDownConfirmationDescription	¿Bajar de nivel a este héroe?
Message/&LevelDownMultiplayerAbortDescription	No se puede bajar de nivel durante una sesión multijugador.
Message/&MessageModWelcomeDescription	El Mod de Expansión de la Comunidad está repleto de emocionantes características, pero por defecto ninguna está habilitada. Pulsa <color=amarillo>Ctrl-F10</color> para abrir la interfaz de usuario del gestor de mods de Unity [UMM], luego haz clic en el icono de configuración junto a "Community Expansion" para abrir las páginas de configuración.\NExplora las opciones y selecciona las que te gusten. La UMM UI se abrirá ahora.
Message/&MessageModWelcomeTitle	Mod de Expansión de la Comunidad
Message/&RespecMultiplayerAbortDescription	No se puede hacer Respec durante una sesión multijugador o en el mapa de exploración.
Message/&SpawnCustomEncounterDescription	¿Generar encuentros en las coordenadas ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	No se pueden generar encuentros en una partida multijugador. Sin embargo...
Message/&SpawnCustomEncounterTitle	Encuentro
Message/&TeleportPartyDescription	¿Teletransportar al grupo a las coordenadas ({0}, {1})? Podrías romper las misiones o los mapas si te teletransportas a un lugar no descubierto.
Message/&TeleportPartyTitle	Teletransporte
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierDescription	El arma utiliza el modificador de Carisma para las tiradas de ataque y daño y cuenta como mágica hasta el descanso prolongado.
Modifier/&AHWarlockSoulBladePactEmpowerWeaponModifierTitle	Alma Potenciada
Modifier/&AttributeModifierRuinDescription	-3 a la Clase de Armadura.
Modifier/&AttributeModifierRuinTitle	Arruinado
Modifier/&CripplingAdditionalDamageDescription	Daño incapacitante.
Modifier/&CripplingAdditionalDamageTitle	Incapacitante
Modifier/&DisorientDescription	-1d6 a las tiradas de ataque.
Modifier/&DisorientTitle	Desorientado
Monster/&DHCustomCouatlDescription	Los Couatls son seres serpentinos benévolos de gran intelecto y perspicacia. Sus alas de colores brillantes y sus maneras amables hablan de sus orígenes celestiales.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Familiar de búho.
Monster/&OwlFamiliarTitle	Búho
Monster/&PactOfChainCustomImpDescription	Los diablillos se encuentran por todos los Planos Inferiores, ya sea haciendo recados para sus amos infernales, espiando a sus rivales o engañando a los mortales. Un diablillo servirá con orgullo a un amo maligno de cualquier tipo, pero no se puede confiar en que realice sus tareas con rapidez o eficacia.
Monster/&PactOfChainCustomImpTitle	Gnomo (Pacto de la Cadena)
Monster/&PactOfChainCustomPseudodragonDescription	El escurridizo pseudodragón habita en los lugares tranquilos del mundo, haciendo su hogar en los huecos de los árboles y las pequeñas cuevas. Con sus escamas verdes, cuernos y unas fauces llenas de dientes afilados, un pseudodragón se parece a un pequeño dragón verde, pero su disposición es juguetona.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragón
Monster/&PactOfChainCustomQuasitDescription	Los quasits infestan los planos inferiores. Físicamente débiles, se mantienen en las sombras para tramar travesuras y maldades. Los demonios más poderosos utilizan a los quasits como espías y mensajeros cuando no los están devorando o destrozando para pasar el tiempo.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacto de cadena)
Monster/&PactOfChainCustomSpriteDescription	A diferencia de los duendes, los quasits rara vez se entregan a la alegría y la diversión frívolas. Son firmes guerreros, protectores y jueces, y su severa inclinación hace que otros fey los consideren excesivamente adustos y serios. Sin embargo, los fey que respetan el territorio de los sprites los encuentran aliados incondicionales en tiempos de problemas.
