ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Feature/&RiftWalkerSpellsMagicAffinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden der Hexenmeister-Zauberliste für Sie hinzugefügt:\n Level 1: Springen, Langläufer\n Stufe 2: Unschärfe, spurlos passieren\n Stufe 3: Hast, Langsam\n Stufe 4: Bewegungsfreiheit, größere Unsichtbarkeit\n Level 5: Mind Twist, Böses und Gutes vertreiben
Feature/&RiftWalkerSpellsMagicAffinityTitle	Rift Walker-Zauber
Feature/&RoyalEnvoyFeatureDescription	Addiere die Hälfte deines Kompetenzbonus (aufgerundet) zu jedem Charisma-Check, den du machst, der deinen Kompetenzbonus nicht bereits nutzt. Außerdem werden Sie mit Charisma-Rettungswürfen vertraut
Feature/&RoyalEnvoyFeatureTitle	Königlicher Gesandter
Feature/&SavingThrowTinkererProficiencyDescription	Beherrschung von Konstitutions- und Intelligenzwürfen
Feature/&SavingThrowTinkererProficiencyTitle	Rettungswurf-Fertigkeit
Feature/&ScoutModePowerDescription	Erhalte mehr Bewegungsfreiheit, Tarnvorteil und einen Fernkampfangriff, der einmal pro Runde einen zusätzlichen Schadenswürfel verursacht
Feature/&ScoutModePowerTitle	Scout-Modus
Feature/&SentinelModePowerDescription	Erhalten Sie eine begrenzte Anzahl von TempHP basierend auf dem Level. Verhängt einen Nachteil für Feinde, die Verbündete angreifen
Feature/&SentinelModePowerTitle	Sentinel-Modus
Feature/&ShroudofShadowTitle	Schleier des Schattens
Feature/&SignofIllOmenTitle	Zeichen des schlechten Omens
Feature/&SpellAsInvocationAtWillDescription	Zaubere {0} nach Belieben
Feature/&SpellAsInvocationOncePerDayDescription	Bis zur langen Pause einmal {0} wirken
Feature/&TempHPShield_09ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit
Feature/&TempHPShield_09ModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShield_15ModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP.\nSelbstzerstörung: Verursacht 3W8 Machtschaden bei einem fehlgeschlagenen Rettungswurf und zerstört die Einheit.\n Half Cover Dome: Bietet Verbündeten innerhalb von 10 Fuß halbe Deckung
Feature/&TempHPShield_15ModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShieldModePowerDescription	Beschwört ein Konstrukt, das 1 Stunde hält.\nSchutzkuppel: Gewährt Verbündeten innerhalb von 10 Fuß 1W8 + 4 temporäre HP
Feature/&TempHPShieldModePowerTitle	Beschwöre ein schützendes Kuppelkonstrukt
Feature/&TempHPShieldTitle	Schutzkuppel
Feature/&ThiefofFiveFates	Wirke {0} einmal pro Tag
Feature/&ThiefofFiveFatesTitle	Dieb der fünf Schicksale
Feature/&ThirstingBladeDescription	Du kannst zweimal statt einmal mit deiner Waffe angreifen, wenn du in deinem Zug die Angriffsaktion ausführst
Feature/&ThirstingBladeTitle	Durstige Klinge
Feature/&TinkererArmorProficiencyDescription	Kenntnisse im Umgang mit leichten und mittleren Rüstungen sowie Schilden
Feature/&TinkererArmorProficiencyTitle	Tüftler-Rüstungskompetenz
Feature/&TinkererSkillGainChoicesPluralDescription	Tüftlerfähigkeiten sind Arcana, Geschichte, Ermittlung, Medizin, Natur, Wahrnehmung und Fingerfertigkeit
Feature/&TinkererSkillPointsTitle	Tüftlerfähigkeiten
Feature/&TinkererToolsExpertiseDescription	Sammeln Sie Erfahrung mit vielen Werkzeugen, darunter Werkzeuge des Diebes, Schriftrollen-Kits, Poisoner's Kit, Herbalism Kit und Enchanting Tools
Feature/&TinkererToolsExpertiseTitle	Tüftler-Tool-Expertise
Feature/&TinkererToolsProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit vielen Werkzeugen, darunter Diebeswerkzeuge, Schriftrollen-Kits, Poisoner's Kit, Herbalism Kit und Enchanting Tools
Feature/&TinkererToolsProficiencyTitle	Werkzeugkenntnisse
Feature/&TinkererWeaponProficiencyDescription	Umgang mit einfachen Waffen
Feature/&TinkererWeaponProficiencyTitle	Tüftler-Waffenkenntnisse
Feature/&ToadKingBasicToxinTitle	Basisches Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Die folgenden Zauber werden der Hexenmeister-Zauberliste für Sie hinzugefügt:\n Level 1: Schmieren, Gift und Krankheit erkennen\n Level 2: AcidArrow, Spinnenklettern\n Level 3: Langsame, stinkende Wolke\n Stufe 4: Schwarze Tentakel, Bewegungsfreiheit\n Stufe 5: Ansteckung, Insektenplage
Feature/&ToadKingExpandedSpelllistAfinityTitle	Krötenkönig-Zauber
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Ihr Körper hat sich verändert, um gegenüber Toxinen resistent zu werden und ein Abwehrgift zu produzieren, wenn er im Nahkampf angegriffen wird (bis zu PB-mal pro Tag). Wenn dem Angreifer ein Con-Rettungswurf misslingt, werden sie zu luzinogenem Toxin, bis sie angegriffen oder anderweitig unterbrochen werden
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Halluzinogenes Toxin
Feature/&ToadKingJumpTitle	Springen
Feature/&ToadKingPoisonConditionAffinityTitle	Immun gegen Giftzustand
Feature/&ToadKingPoisonDamageAffinityTitle	Immun gegen Giftschaden
Feature/&ToadKingStickyFeetTitle	Schwimmhäute
Feature/&Trickster'sEscapeTitle	Die Flucht des Tricksters
Feature/&UrPriestDomainTheftDescription	Sie schnappen sich die Geheimnisse, die ein Gott all seinen frommen Kleriker gewährt. Wählen Sie eine Klerikerdomäne: Sie erhalten die Funktionen, die die Domäne auf der 1. Ebene gewährt
Feature/&UrPriestDomainTheftTitle	Domain-Diebstahl
Feature/&UrPriestExpandedSpelllistAfinityDescription	Du wählst aus einer erweiterten Liste von Zaubersprüchen, wenn du einen Hexenmeisterzauber lernst. Kleriker-Zauber werden für dich zur Hexenmeister-Zauberliste hinzugefügt
Feature/&UrPriestExpandedSpelllistAfinityTitle	Urpriester-Zauber
Feature/&WallofThornsFeatureSetDescription	Wirke einmal täglich Dornenwand
Feature/&WallofThornsFeatureSetTitle	Waldbarriere
Feature/&WitchSightDescription	Sie können Unsichtbarkeit bis zu 60 Fuß spüren oder sehen
Feature/&WitchSightTitle	Hexenblick
Feature/&ZSPowerPaladinCleansingTouchDescription	Entferne Zaubereffekte, indem du einen Verbündeten berührst. Du kannst dies so oft am Tag tun, wie es deinem Charisma-Modifikator entspricht
Feature/&ZSPowerPaladinCleansingTouchTitle	Reinigende Berührung
Feedback/&AdditionalDamageAgonizing_BlastFormat	Qualvolle Explosion
Feedback/&AdditionalDamageAgonizing_BlastLine	Wenn du einen Zauber wirkst, der Gewaltschaden (dunkle Explosion) verwendet, addiere deinen Charisma-Modifikator zu dem Schaden, den er bei einem Treffer verursacht.
Feedback/&AdditionalDamageAncientForestLifeSapFormat	Lebenssaft!
Feedback/&AdditionalDamageAncientForestLifeSapLine	Life Sap verursacht zusätzlichen Schaden und heilt!
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Zusätzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Zusätzlicher Schaden durch magisch angetriebene Angriffe
Feedback/&AdditionalDamageArcaneFirearmFormat	Explosionsverbesserung!
Feedback/&AdditionalDamageArcaneFirearmLine	Verursacht zusätzlichen Schaden durch Sprengverstärkung
Feedback/&AdditionalDamageArcanistMarkFormat	Zeichen des Arkanisten!
Feedback/&AdditionalDamageArcanistMarkLine	Das Zeichen des Arkanisten detoniert und fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Erleuchtender Schlag!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike fügt dem Ziel zusätzlichen Schaden zu!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blendende Waffe
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Zusätzlicher Schaden und Versuch, Blindness von Blending Weapon anzuwenden.
Feedback/&AdditionalDamageElementalDamageFormat	Elementarschaden
Feedback/&AdditionalDamageElementalDamageLine	Elementarform gewährt zusätzlichen Schaden
Feedback/&AdditionalDamagePactMarkedFormat	Paktzeichen!
Feedback/&AdditionalDamagePactMarkedLine	Paktmarke fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamagePactSoulTakerFormat	Seelenfänger!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul Taker fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamagePugilistFormat	Faustkämpfer
Feedback/&AdditionalDamagePugilistLine	Zusätzlicher unbewaffneter Schaden durch Faustkämpfer
Feedback/&AdditionalDamageSoulEmpoweredFormat	Seele gestärkt!
Feedback/&AdditionalDamageSoulEmpoweredLine	Seelenermächtigt fügt zusätzlichen Schaden zu!
Feedback/&AdditionalDamageUpgradedConstructFormat	Verbesserter Schaden
Feedback/&AdditionalDamageUpgradedConstructLine	Das aufgewertete Konstrukt verursacht 1W8 mehr Schaden pro Treffer
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} erstellt {1}
Feedback/&ExtraDamageDescription	Zusätzlicher Schaden durch Blitzspeer
Feedback/&ExtraDamageTitle	Blitzspeer zusätzlichen Schaden
Feedback/&LightningSpearAdditionalDamageDescription	Blitzschaden 1W6 extra einmal pro Runde
Feedback/&LightningSpearAdditionalDamageTitle	Blitzspeer zusätzlichen Schaden
FightingStyle/&BlindFightingDescription	Sie haben Blindsicht mit einer Reichweite von 10 Fuß
FightingStyle/&BlindFightingTitle	Blindes Kämpfen
FightingStyle/&PugilistFightingDescription	Während Sie völlig unbewaffnet sind, verursachen Ihre unbewaffneten Schläge einen zusätzlichen W8 Schaden und Sie können als Bonusaktion mit Ihrer Nebenhand schlagen
FightingStyle/&PugilistFightingTitle	Faustkämpfer
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsDescription	Arcana, Natur und Einsicht
FlexibleBackgrounds/&AcademicBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsDescription	Religion, Natur und Einsicht
FlexibleBackgrounds/&AcolyteBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsDescription	Geschichte, Überzeugung und Einschüchterung
FlexibleBackgrounds/&AristocratBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect2Description	Wählen Sie 2 Fähigkeiten aus
FlexibleBackgrounds/&BackgroundSkillSelect2Title	Fähigkeiten
FlexibleBackgrounds/&BackgroundSkillSelect3Description	Wählen Sie 3 Fähigkeiten aus
FlexibleBackgrounds/&BackgroundSkillSelect3Title	Fähigkeiten
FlexibleBackgrounds/&BackgroundToolSelect2Description	Wählen Sie 2 Werkzeugkenntnisse aus
FlexibleBackgrounds/&BackgroundToolSelect2Title	Werkzeug
FlexibleBackgrounds/&BackgroundToolSelectDescription	Wählen Sie eine Werkzeugkompetenz aus
FlexibleBackgrounds/&BackgroundToolSelectTitle	Werkzeug
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsDescription	Wahrnehmung und Einschüchterung
FlexibleBackgrounds/&LawkeeperBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsDescription	Taschenspielertrick, Stealth und Täuschung
FlexibleBackgrounds/&LowlifeBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsDescription	Medizin und Überzeugung
FlexibleBackgrounds/&PhilosopherBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsDescription	Leichtathletik und Einschüchterung
FlexibleBackgrounds/&SellswordBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsDescription	Heimlichkeit, Täuschung und Natur
FlexibleBackgrounds/&SpyBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsDescription	Überleben und Natur
FlexibleBackgrounds/&WandererBackgroundSuggestedSkillsTitle	Vorgeschlagene Fähigkeiten
FlexibleRaces/&PointPoolAbilityScore3Description	Verwenden Sie drei Boosts auf Fähigkeitswerte in einer beliebigen Kombination Ihrer Wahl
FlexibleRaces/&PointPoolAbilityScore3Title	Erhöhung des Fähigkeitswerts
FlexibleRaces/&PointPoolAbilityScore4Description	Verwenden Sie vier Boosts auf Fähigkeitswerte in einer beliebigen Kombination Ihrer Wahl
FlexibleRaces/&PointPoolAbilityScore4Title	Erhöhung des Fähigkeitswerts
Format/&LevelAndExperienceFormat	Stufe: {0}\nErfahrung: {1}\n{2} Punkte erforderlich, um Stufe {3} zu erreichen
Format/&LevelAndExperienceMaxedFormat	Stufe: {0}\nErfahrung: {1}\nMaximales Level erreicht.
Item/&ForceArtilleryProjectileDescription	ForceArtilleryProjectile
Item/&ForceArtilleryProjectileTitle	ForceArtilleryProjectile
Language/&GnomishLanguageDescription	Eine alte solastanische Sprache, die von Gnomen bewahrt wurde, die in den tiefen Wäldern von Solasta leben, hat die Katastrophe überlebt
Language/&GnomishLanguageTitle	Gnomisch
MainMenu/&ExportPdfDescription	Stufen Sie diesen Helden herunter
MainMenu/&ExportPdfTitle	Einebnen
Message/&CharacterExportDuplicateNameErrorDescription	Export abgebrochen:\n\nEin Held mit diesem Namen existiert bereits im Pool.\nBitte versuchen Sie es mit einem anderen Namen
Message/&CharacterExportEmptyNameErrorDescription	Export abgebrochen:\n\nBitte versuchen Sie es mit einem nicht leeren Namen
Message/&CharacterExportModalContentDescription	Geben Sie den zu exportierenden Heldennamen ein:
Message/&CharacterExportModalTitleDescription	Zeichenexport
Message/&LevelDownConfirmationDescription	Diesen Helden runterleveln?
Message/&LevelDownMultiplayerAbortDescription	Kann während einer Multiplayer-Sitzung nicht absteigen. Abgebrochen
Message/&RespecMultiplayerAbortDescription	Respec während einer Multiplayer-Sitzung nicht möglich. Abgebrochen
Message/&MessageModWelcomeDescription	Der Community Expansion Mod ist vollgepackt mit aufregenden Funktionen, aber standardmäßig sind keine aktiviert. Drücken Sie <color=yellow>Strg-F10</color>, um die Unity Mod Manager-Benutzeroberfläche [UMM] zu öffnen, und klicken Sie dann auf das Einstellungssymbol neben „Community-Erweiterung“, um die Einstellungsseiten zu öffnen.\n\n Erkunden Sie die Optionen und wählen Sie diejenigen aus, die Ihnen gefallen. Die UMM-Benutzeroberfläche wird nun geöffnet
Message/&MessageModWelcomeTitle	Community-Erweiterungs-Mod
Message/&SpawnCustomEncounterDescription	Spawn-Begegnung an den Koordinaten ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Begegnungen können in einem Multiplayer-Spiel nicht gespawnt werden. Noch...
Message/&SpawnCustomEncounterTitle	Begegnen
Message/&TeleportPartyDescription	Gruppe zu Koordinaten ({0}, {1}) teleportieren?\nSie können Quests oder Karten zerstören, wenn Sie sich an einen unentdeckten Ort teleportieren
Message/&TeleportPartyTitle	Teleportieren
Modifier/&AttributeModifierRuinDescription	-3 auf Rüstungsklasse
Modifier/&AttributeModifierRuinTitle	Ruiniert
Modifier/&DisorientDescription	-1W6 auf Angriffswürfe
Modifier/&DisorientTitle	Desorientiert
Monster/&DHCustomCouatlDescription	Couatls sind wohlwollende Schlangenwesen von großem Intellekt und Einsicht. Ihre leuchtend gefärbten Flügel und ihre sanfte Art sprechen für ihre himmlische Herkunft
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Eule vertraut
Monster/&OwlFamiliarTitle	Eule
Monster/&PactOfChainCustomImpDescription	Kobolde sind überall in den unteren Ebenen zu finden, entweder um Besorgungen für ihre höllischen Herren zu erledigen, Rivalen auszuspionieren oder Sterbliche in die Irre zu führen und aufzulauern. Ein Kobold wird jedem bösen Meister jeder Art stolz dienen, aber er kann sich nicht darauf verlassen, dass er Aufgaben schnell oder effizient erledigt
Monster/&PactOfChainCustomImpTitle	Kobold (Kettenpakt)
Monster/&PactOfChainCustomPseudodragonDescription	Der schwer fassbare Pseudodrache lebt an den stillen Orten der Welt und lebt in Baumhöhlen und kleinen Höhlen. Mit seinen grünen Schuppen, Hörnern und einem Maul voller scharfer Zähne ähnelt ein Pseudodrache einem winzigen grünen Drachen, aber seine Veranlagung ist verspielt
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodrache
Monster/&PactOfChainCustomQuasitDescription	Quasits befallen die unteren Ebenen. Körperlich schwach halten sie sich im Schatten auf, um Unheil und Bosheit zu schmieden. Mächtigere Dämonen benutzen Quasiten als Spione und Boten, wenn sie sie nicht verschlingen oder auseinandernehmen, um sich die Zeit zu vertreiben
Monster/&PactOfChainCustomQuasitTitle	Quasit (Kettenpakt)
Monster/&PactOfChainCustomSpriteDescription	Im Gegensatz zu Kobolden geben sich Sprites selten frivoler Fröhlichkeit und Spaß hin. Sie sind standhafte Krieger, Beschützer und Richter, und ihre strenge Haltung veranlasst andere Feen, sie für übermäßig mürrisch und ernst zu halten. Feen, die das Territorium der Sprites respektieren, finden sie jedoch in schwierigen Zeiten zu treuen Verbündeten
Monster/&PactOfChainCustomSpriteTitle	Sprite (Kettenpakt)
Monster/&WitchOwlFamiliarDescription	Eule vertraut
Monster/&WitchOwlFamiliarTitle	Eule
MonsterAttack/&AttackWarlockDragonStingDescription	1W4 Stichschaden und das Ziel muss einen Konstitutionswurf gegen SG 11 bestehen oder wird vergiftet
MonsterAttack/&AttackWarlockDragonStingTitle	Giftiger Stich
MonsterAttack/&AttackWarlockImpStingDescription	Giftiger Stich eines Kobolds
MonsterAttack/&AttackWarlockImpStingTitle	Giftiger Stich
MonsterAttack/&AttackWarlockQuasitStingTitle	Giftiger Stich
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Durchdringender Schaden, und dem Ziel muss ein Konstitutionswurf gegen SG 13 gelingen oder es wird 24 Stunden lang vergiftet. Bis dieses Gift endet, ist das Ziel bewusstlos
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Beissen
