ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Monster/&PactOfChainCustomImpDescription	Kobolde sind überall in den unteren Ebenen anzutreffen, wo sie entweder Botengänge für ihre höllischen Herren erledigen, Rivalen ausspionieren oder Sterbliche in die Irre führen und in die Irre führen. Kobolde sind stolz darauf, einem bösen Meister zu dienen, aber man kann sich nicht darauf verlassen, dass sie ihre Aufgaben schnell und effizient erledigen.
Monster/&PactOfChainCustomImpTitle	Kobold (Pakt der Kette)
Monster/&PactOfChainCustomPseudodragonDescription	Der schwer fassbare Pseudodrache lebt an den stillen Orten der Welt, in den Höhlen der Bäume und in kleinen Höhlen. Mit seinen rotbraunen Schuppen, seinen Hörnern und seinem mit scharfen Zähnen gefüllten Maul ähnelt der Pseudodrache einem winzigen roten Drachen, doch sein Wesen ist verspielt.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodrache (Pakt der Kette)
Monster/&PactOfChainCustomQuasitDescription	Quasits bevölkern die unteren Ebenen. Sie sind körperlich schwach und halten sich in den Schatten auf, um Unheil und Bosheit zu stiften. Mächtigere Dämonen benutzen Quasits als Spione und Boten, wenn sie sie nicht gerade verschlingen oder auseinanderreißen, um sich die Zeit zu vertreiben.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pakt der Kette)
Monster/&PactOfChainCustomSpriteDescription	Anders als Kobolde geben sich Kobolde nur selten frivoler Fröhlichkeit und Spaß hin. Sie sind entschlossene Krieger, Beschützer und Richter, und ihre strenge Gesinnung veranlasst andere Feen, sie als übermäßig mürrisch und ernst zu betrachten. Fey, die das Territorium der Sprites respektieren, finden in ihnen jedoch treue Verbündete in Zeiten der Not.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pakt der Kette)
Monster/&WitchOwlFamiliarDescription	Eule vertraut
Monster/&WitchOwlFamiliarTitle	Eule
MonsterAttack/&DH_AirBlast_Attack_Description	5d6 Donner und stößt 2 Zellen
MonsterAttack/&DH_AirBlast_Attack_Title	Luftstoß
MonsterAttack/&DH_AirTitan_Slam_Attack_Descriptiond	4d6+6 Prügel & 4d6 Donner
MonsterAttack/&DH_AirTitan_Slam_Attack_Title	Donnernder Schlag
MonsterAttack/&DH_AncientDragon_Tail_Attack_Description	2D8+8 Prügeln
MonsterAttack/&DH_AncientDragon_Tail_Attack_Title	Schwanz-Attacke
MonsterAttack/&DH_Balor_Longsword_Attack_Description	3D8+8 Hieb & 3D8 Blitz
MonsterAttack/&DH_Balor_Longsword_Attack_Title	Langschwert-Angriff
MonsterAttack/&DH_Balor_Whip_Attack_Description	2D6+8 Hieb & 3D6 Feuer
MonsterAttack/&DH_Balor_Whip_Attack_Title	Peitschenangriff
MonsterAttack/&DH_ConstructTitan_ForceCannon_Attack_Description	4D8 Kraftschaden und das Ziel wird zu Boden geworfen
MonsterAttack/&DH_ConstructTitan_ForceCannon_Attack_Title	Macht-Kanone
MonsterAttack/&DH_ConstructTitan_Slam_Attack_Description	3D12+8 Prügelschaden und das Ziel wird 20 Fuß weit geschleudert
MonsterAttack/&DH_ConstructTitan_Slam_Attack_Title	Zuschlagen
MonsterAttack/&DH_Custom_TarrasqueSwallowedcondition_Description	Kann nicht handeln und erleidet jede Runde 16d6 Säureschaden. 60 Schadenspunkte in einem einzigen Angriff können den Verschluckten zum Erbrechen zwingen.
MonsterAttack/&DH_Custom_TarrasqueSwallowedcondition_Title	Verschluckt
MonsterAttack/&DH_Custom_TarrasqueSwallowingcondition_Description	60 Schadenspunkte in einem einzigen Angriff können ihn zum Erbrechen zwingen.
MonsterAttack/&DH_Custom_TarrasqueSwallowingcondition_Title	Verschluckende Kreatur
MonsterAttack/&DH_DamageAcid_Bite_Attack_Description	2D10+9 Durchbohrender Schaden & 2D8 Säureschaden
MonsterAttack/&DH_DamageAcid_Bite_Attack_Title	Säurebiss-Angriff
MonsterAttack/&DH_DamageCold_Bite_Attack_Description	2D10+9 Durchbohren & 2D8 Kälteschaden
MonsterAttack/&DH_DamageCold_Bite_Attack_Title	Eisbiss-Angriff
MonsterAttack/&DH_DamageFire_Bite_Attack_Description	2D10+9 Durchbohren & 4D6 Feuerschaden
MonsterAttack/&DH_DamageFire_Bite_Attack_Title	Feuerbiss-Angriff
MonsterAttack/&DH_DamageLightning_Bite_Attack_Description	2D10+9 Durchbohren & 2D10 Blitzschaden
MonsterAttack/&DH_DamageLightning_Bite_Attack_Title	Blitz-Biss-Attacke
MonsterAttack/&DH_DamagePoison_Bite_Attack_Description	2D10+9 Durchbohren & 3D6 Giftschaden
MonsterAttack/&DH_DamagePoison_Bite_Attack_Title	Giftbiss-Attacke
MonsterAttack/&DH_EarthTitan_Boulder_Attack_Description	7D10+8 Prügeln
MonsterAttack/&DH_EarthTitan_Boulder_Attack_Title	Felsbrocken
MonsterAttack/&DH_EarthTitan_Slam_Attack_Description	4D10+8 Verletzen
MonsterAttack/&DH_EarthTitan_Slam_Attack_Title	Ground Slam
MonsterAttack/&DH_FireScimatar_Attack_Description	2d6+6 Hieb & 2d6 Feuer
MonsterAttack/&DH_FireScimatar_Attack_Title	Scimatar
MonsterAttack/&DH_FireTitan_Slam_Attack_Description	3d6+5 Verprügeln + 10d6 Feuer
MonsterAttack/&DH_FireTitan_Slam_Attack_Title	Versengender Hieb
MonsterAttack/&DH_Fork_Attack_Description	2d8 +6 Durchbohren
MonsterAttack/&DH_Fork_Attack_Title	Gabelangriff
MonsterAttack/&DH_Generic_Bite_Attack_No_ExtraDamage_Description	2d10 + 6 Durchbohrender Schaden
MonsterAttack/&DH_Generic_Bite_Attack_No_ExtraDamage_Title	Biss-Angriff
MonsterAttack/&DH_Generic_Claw_Attack_Description	2d6 + 9 Hiebschaden
MonsterAttack/&DH_Generic_Claw_Attack_Title	Klauen-Angriff
MonsterAttack/&DH_Generic_Stronger_Bite_Attack_No_ExtraDamage_Description	2D10 + 9
MonsterAttack/&DH_Generic_Stronger_Bite_Attack_No_ExtraDamage_Title	Biss-Angriff
MonsterAttack/&DH_HornedDevilTail_Attack_Description	1D8 +6 Durchbohren, verursacht eine blutende Wunde
MonsterAttack/&DH_HornedDevilTail_Attack_Title	Schwanz-Attacke
MonsterAttack/&DH_HornedDevilTail_Attackcondition_Description	3D6 Nekrotisch, Schutzwirkung wird aufgehoben
MonsterAttack/&DH_HornedDevilTail_Attackcondition_Title	Blutende Wunde
MonsterAttack/&DH_HurlFlame_Attack_Description	5d6 Feuer
MonsterAttack/&DH_HurlFlame_Attack_Title	Flamme schleudern
MonsterAttack/&DH_Ice_Bite_Attack_Description	2d6+5 Durchbohren & 3d6 Kälte
MonsterAttack/&DH_Ice_Bite_Attack_Title	Eisbiss
MonsterAttack/&DH_ImpAttack_Description	1d4 + 3 durchstechender Schaden. Das Ziel muss einen Konstitutionsschutzwurf von DC 11 ablegen und erleidet bei einem misslungenen Schutzwurf 10 (3d6) Giftschaden, bei einem erfolgreichen Schutzwurf halb so viel Schaden.
MonsterAttack/&DH_ImpAttack_Title	Stachel
MonsterAttack/&DH_Lich_ParalyzingTouch_Attack_Description	3D6 Kälte und verursacht den Zustand "Gelähmt".
MonsterAttack/&DH_Lich_ParalyzingTouch_Attack_Title	Lähmende Berührung
MonsterAttack/&DH_LightningScimatar_Attack_Description	2d6+5 Hiebschaden & 2d6 Blitzschaden
MonsterAttack/&DH_LightningScimatar_Attack_Title	Scimatar
MonsterAttack/&DH_NagaBite_Attack_Description	1d8+4 Durchbohren & 15 DC Con Save bis zur Hälfte 10d8 Gift
MonsterAttack/&DH_NagaBite_Attack_Title	Giftiger Biss
MonsterAttack/&DH_NagaSpit_Attack_Description	15 DC Con Save auf die Hälfte von 10d8 Gift
MonsterAttack/&DH_NagaSpit_Attack_Title	Gift spucken
MonsterAttack/&DH_PitFiend_Bite_Attack_Description	2d6+7 Gift, fügt Giftzustand zu
MonsterAttack/&DH_PitFiend_Bite_Attack_Title	Biss-Attacke
MonsterAttack/&DH_PitFiend_Bite_Attackcondition_Description	6D6 Posion wiederkehrend
MonsterAttack/&DH_PitFiend_Bite_Attackcondition_Title	Vergiftet
MonsterAttack/&DH_PitFiend_Mace_Attack_Description	2D6+8 Prügel & 6D6 Feuer
MonsterAttack/&DH_PitFiend_Mace_Attack_Title	Streitkolben-Angriff
MonsterAttack/&DH_PoisonLongbow_Attack_Description	Langbogen mit Giftpfeilen
MonsterAttack/&DH_PoisonLongbow_Attack_Title	Gift-Langbogen
MonsterAttack/&DH_PoisonLongsword_Attack_Description	1d10+4 Hieb & 3d8 Gift
MonsterAttack/&DH_PoisonLongsword_Attack_Title	Gift-Langschwert
MonsterAttack/&DH_PseudodragonAttack_Description	1d4 Durchbohrender Schaden: Das Ziel muss einen Konstitutionsschutzwurf von DC 10 bestehen oder wird für 1 Minute vergiftet. Das vergiftete Ziel wird für die gleiche Dauer bewusstlos, oder bis es Schaden nimmt oder eine andere Kreatur eine Aktion durchführt, um es wachzurütteln.
MonsterAttack/&DH_PseudodragonAttack_Title	Stachel
MonsterAttack/&DH_QuasitAttack_Description	1d4 + 3 durchstechender Schaden, und das Ziel muss einen Rettungswurf mit DC 10 Konstitution bestehen oder 5 (2d4) Giftschaden erleiden und 1 Minute lang vergiftet sein.
MonsterAttack/&DH_QuasitAttack_Title	Klaue
MonsterAttack/&DH_RadiantLongbow_Attack_Description	2D6+8 Durchbohren & 6D8 Strahlenschaden
MonsterAttack/&DH_RadiantLongbow_Attack_Title	Tötender Langbogen.
MonsterAttack/&DH_RadiantLongsword_Attack_Description	4D6+8 Hieb- und 6D8 Strahlenschaden
MonsterAttack/&DH_RadiantLongsword_Attack_Title	Strahlendes Großschwert
MonsterAttack/&DH_Roc_Beak_Attack_Description	4d8+9 Durchbohren
MonsterAttack/&DH_Roc_Beak_Attack_Title	Schnabel
MonsterAttack/&DH_Roc_Talons_Attack_Description	4d6+9 Hieb und das Ziel wird von Roc gepackt und gefesselt
MonsterAttack/&DH_Roc_Talons_Attack_Title	Krallen
MonsterAttack/&DH_SpriteAttack_Description	1d4 Durchbohrender Schaden: Das Ziel muss einen Konstitutionsschutzwurf von DC 10 bestehen oder wird 1 Minute lang vergiftet. Das vergiftete Ziel wird für die gleiche Dauer bewusstlos, oder bis es Schaden nimmt oder eine andere Kreatur eine Aktion durchführt, um es wachzurütteln.
MonsterAttack/&DH_SpriteAttack_Title	Feenbogen
MonsterAttack/&DH_Tarrasque_Bite_Description	4d12 + 10 durchdringender Schaden und das Ziel muss eine Geschicklichkeitsprobe bestehen oder gepackt werden (Flucht DC 20).
MonsterAttack/&DH_Tarrasque_Bite_Title	Biss
MonsterAttack/&DH_Tarrasque_BiteCondition_Description	Bis dieser Griff endet, ist das Ziel gefesselt.
MonsterAttack/&DH_Tarrasque_BiteCondition_Title	Gefangen von Tarrasque
MonsterAttack/&DH_Tarrasque_Claw_Description	4d8 + 10 Hiebschaden
MonsterAttack/&DH_Tarrasque_Claw_Title	Klaue
MonsterAttack/&DH_Tarrasque_Horn_Description	4d10 + 10) Durchschlagschaden
MonsterAttack/&DH_Tarrasque_Horn_Title	Horn
MonsterAttack/&DH_Tarrasque_Tail_Description	4d6 + 10 Schaden durch Hiebe. Handelt es sich bei dem Ziel um eine Kreatur, so muss diese einen DC 20 Stärkewurf bestehen oder sie wird am Boden liegend getroffen.
MonsterAttack/&DH_Tarrasque_Tail_Title	Schwanz
MonsterAttack/&DHCouatlBiteAttackDescription	Durchbohrender Schaden, und das Ziel muss einen Rettungswurf der Konstitution (DC 13) bestehen oder für 24 Stunden vergiftet werden. Bis dieses Gift endet, ist das Ziel bewusstlos.
MonsterAttack/&DHCouatlBiteAttackTitle	Biss
MonsterPower/&DH_AirTitan_Gale_Power_Description	4D10 Donner und Stoßen bei misslungenem Schutzwurf
MonsterPower/&DH_AirTitan_Gale_Power_Title	Schreiender Orkan
MonsterPower/&DH_AirTitan_Lightning_Power_Description	3D10 Blitzschlag im Gebiet
MonsterPower/&DH_AirTitan_Lightning_Power_Title	Blitzschlag
MonsterPower/&DH_AncientDragon_Wing_Power_Description	Drachen können mit ihren Flügeln so viel Wind erzeugen, dass sie die meisten Humanoiden wegschleudern und zu Boden werfen.
MonsterPower/&DH_AncientDragon_Wing_Power_Title	Flügelangriff
MonsterPower/&DH_Balor_FireAura_Power_Description	3D6 Feuer
MonsterPower/&DH_Balor_FireAura_Power_Title	Feuer-Aura
MonsterPower/&DH_BlindingGaze_Power_Description	DC15 Konstitutionsschutz oder Blindheit, bis eine geringere Wiederherstellung verwendet wird
MonsterPower/&DH_BlindingGaze_Power_Title	Blendender Blick
MonsterPower/&DH_DamageAcid_Breath_Power_Description	15D8 Säure
MonsterPower/&DH_DamageAcid_Breath_Power_Title	Saurer Atem
MonsterPower/&DH_DamageCold_Breath_Power_Description	16D8 Kälte
MonsterPower/&DH_DamageCold_Breath_Power_Title	Eis-Atem
MonsterPower/&DH_DamageFire_Breath_Power_Description	26D6 Feuer
MonsterPower/&DH_DamageFire_Breath_Power_Title	Feuer-Atem
MonsterPower/&DH_DamageLightning_Breath_Power_Description	16D10 Blitz
MonsterPower/&DH_DamageLightning_Breath_Power_Title	Blitz-Atem
MonsterPower/&DH_DamagePoison_Breath_Power_Description	22D6 Gift
MonsterPower/&DH_DamagePoison_Breath_Power_Title	Giftiger Atem
MonsterPower/&DH_DisintegratingBeam_Power_Description	6D10 Strahlenschaden und das Ziel wird auf 0 HP desintegriert
MonsterPower/&DH_DisintegratingBeam_Power_Title	Auflösungsstrahl
MonsterPower/&DH_EarthTitan_Earthquake_Power_Description	4D10 Prügeln
MonsterPower/&DH_EarthTitan_Earthquake_Power_Title	Erdbeben
MonsterPower/&DH_ErinyesParry_Power_Description	+3 AC
MonsterPower/&DH_ErinyesParry_Power_Title	Parieren
MonsterPower/&DH_FireTitan_Aura_Power_Description	Jede Kreatur im Umkreis von 30 Fuß erleidet 35 (10d6) Feuerschaden, und entflammbare Gegenstände in der Aura, die nicht getragen werden, entzünden sich.
MonsterPower/&DH_FireTitan_Aura_Power_Title	Feuer-Titan-Aura
MonsterPower/&DH_FireTitan_Retaliate_DamageAffinity_Description	Eine Kreatur erleidet 35 (10d6) Feuerschaden, wenn sie Maegera berührt oder mit einem Nahkampfangriff trifft, während sie sich in einem Umkreis von 10 Fuß befindet.
MonsterPower/&DH_FireTitan_Retaliate_DamageAffinity_Title	Feuer-Titan Vergeltung
MonsterPower/&DH_FireTitan_Retaliate_Power_Description	Eine Kreatur erleidet 35 (10d6) Feuerschaden, wenn sie Maegera berührt oder mit einem Nahkampfangriff in einem Umkreis von 10 Fuß von ihr getroffen wird.
MonsterPower/&DH_FireTitan_Retaliate_Power_Title	Feuer-Titan Vergeltung
MonsterPower/&DH_IlluminatingCrystals_Power_Description	Jede Kreatur, die sich beim Wirken des Zaubers in der Nähe befindet, wird ebenfalls in Licht gehüllt. Für die Dauer des Zaubers verbreiten Gegenstände und betroffene Kreaturen ein schwaches Licht in einem Umkreis von 10 Fuß.
MonsterPower/&DH_IlluminatingCrystals_Power_Title	Erleuchtende Kristalle
MonsterPower/&DH_IncreasedGravityZone_Attack_Description	Der Titan fokussiert die Zone in einem Umkreis von 20 Fuß um ihn. Jede Kreatur in einem 20-Fuß-Radius und einem 20-Fuß-Zylinder, der auf diesen Punkt zentriert ist, muss einen Rettungswurf mit DC 26 (Geschicklichkeit) bestehen oder erleidet 33 (6d10) Hiebschaden, fällt auf den Boden und ist eine Runde lang gefesselt.
MonsterPower/&DH_IncreasedGravityZone_Attack_Title	Zone mit erhöhter Schwerkraft
MonsterPower/&DH_Lich_DisruptLife_Power_Description	6D6 Nekrotisch
MonsterPower/&DH_Lich_DisruptLife_Power_Title	Leben zerstören
MonsterPower/&DH_SearingBurst_Power_Description	4D6 Feuer & 4D6 Strahlen
MonsterPower/&DH_SearingBurst_Power_Title	Versengender Ausbruch
MonsterPower/&DH_SummonCreature_Air_Elemental_Power_Description	Beschwört 1 Luftelementar
MonsterPower/&DH_SummonCreature_Air_Elemental_Power_Title	Großes Elementar beschwören
MonsterPower/&DH_SummonCreature_Earth_Elemental_Power_Description	Beschwört 1 Erd-Elementar
MonsterPower/&DH_SummonCreature_Earth_Elemental_Power_Title	Großes Elementar beschwören
MonsterPower/&DH_SummonCreature_Erinyes_Power_Description	Ein Erinyes wird zum Kampf herbeigerufen
MonsterPower/&DH_SummonCreature_Erinyes_Power_Title	Diener beschwören: Erinyes
MonsterPower/&DH_SummonCreature_Fire_Elemental_Power_Description	Beschwört 1 Feuer-Elementar
MonsterPower/&DH_SummonCreature_Fire_Elemental_Power_Title	Großes Elementar beschwören
MonsterPower/&DH_SummonCreature_Fire_Jester_Power_Description	Beschwört 2 Feuernarren
MonsterPower/&DH_SummonCreature_Fire_Jester_Power_Title	Kleinere Elementare beschwören
MonsterPower/&DH_SummonCreature_Nalfeshnee_Power_Description	Ein Nalfeshnee wird zum Kampf herbeigerufen
MonsterPower/&DH_SummonCreature_Nalfeshnee_Power_Title	Diener beschwören: Nalfeshnee
MonsterPower/&DH_SummonCreature_SkarnGhoul_Power_Description	Beschwört 1 Skarn-Ghoul
MonsterPower/&DH_SummonCreature_SkarnGhoul_Power_Title	Geringere Elementare beschwören
MonsterPower/&DH_SummonCreature_WindSnake_Power_Description	Beschwört 4 Windschlangen
MonsterPower/&DH_SummonCreature_WindSnake_Power_Title	Geringere Elementare beschwören
MonsterPower/&DH_SummonCreature_Wolves_Power_Description	Der Vampir ruft auf magische Weise 3d6 Wölfe herbei
MonsterPower/&DH_SummonCreature_Wolves_Power_Title	Kinder der Nacht
MonsterPower/&DH_TarrasqueReflectiveCarapace_Immunity_Description	Jedes Mal, wenn die Tarraske von einem magischen Raketenzauber, einem Linienzauber oder einem Zauber, der einen Distanzangriffswurf erfordert, getroffen wird, ist die Tarraske davon unberührt.
MonsterPower/&DH_TarrasqueReflectiveCarapace_Immunity_Title	Reflektierender Panzer
MonsterPower/&DH_TarrasqueSwallowPower_Description	Die Tarraske führt einen Bissangriff gegen eine große oder kleinere Kreatur aus, die sie gerade packt. Wenn der Angriff trifft, wird das Ziel verschluckt und der Griff endet.
MonsterPower/&DH_TarrasqueSwallowPower_Title	Verschlucken
MonsterPower/&DH_VampireCharmPower_Description	Der Vampir zielt auf einen Humanoiden, den er im Umkreis von 30 Fuß sehen kann. Das Ziel muss einen Weisheitswurf DC 17 gegen diese Magie bestehen oder von dem Vampir verzaubert werden.
MonsterPower/&DH_VampireCharmPower_Title	Verzaubern
Power/&AncientForestLifeSapDescription	Wenn du einen Feind mit einem Angriffswurf mit Zaubern triffst (PB-mal pro Tag), fügst du deinen Cha-Modifer an Schaden zu und heilst die Hälfte dieses Betrags, wenn du weniger als die Hälfte deiner Trefferpunkte hast.
Power/&AncientForestLifeSapTitle	Lebenssaft
Power/&AncientForestRootedPowerDescription	Baumartige Ranken wachsen aus deinen Füßen und graben sich in den Boden. Deine Geschwindigkeit wird auf 0 reduziert, und du erhältst einen Vorteil auf alle Schutzwürfe, die dich schubsen, ziehen oder auf den Boden werfen.
Power/&AncientForestRootedPowerTitle	Verwurzelt
Power/&HelpActionDescription	Du kannst einer befreundeten Kreatur helfen, eine Kreatur im Umkreis von 5 Fuß anzugreifen. Du täuschst eine Finte vor, lenkst das Ziel ab oder tust dich auf andere Weise zusammen, um den Angriff deines Verbündeten effektiver zu machen. Wenn dein Verbündeter das Ziel vor deinem nächsten Zug angreift, wird der erste Angriffswurf mit Vorteil ausgeführt.
Power/&HelpActionTitle	Hilfe
Power/&MoonlitDanceoftheNightSkyDescription	Du kannst einmal pro Tag Fliegen auf 4 Ziele wirken
Power/&MoonlitDanceoftheNightSkyTitle	Tanz des Nachthimmels
Power/&MoonlitDarkMoonDescription	Du kannst Dunkelheit zaubern (PB-mal pro Tag)
Power/&MoonlitDarkMoonTitle	Dunkler Mond
Power/&MoonlitFullMoonDescription	Du kannst Tageslicht zaubern (PB-mal pro Tag)
