ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Message/&SpawnCustomEncounterErrorDescription	Cannot spawn encounters on a multiplayer game. Yet...
Message/&SpawnCustomEncounterTitle	Encounter
Message/&TeleportPartyDescription	Teleport party to coordinates ({0}, {1})?\nYou might break quests or maps if you teleport to an undiscovered place
Message/&TeleportPartyTitle	Teleport
Modifier/&AttributeModifierRuinDescription	-3 to Armor Class
Modifier/&AttributeModifierRuinTitle	Ruined
Modifier/&DisorientDescription	-1d6 to attack rolls
Modifier/&DisorientTitle	Disoriented
Monster/&DHCustomCouatlDescription	Couatls are benevolent serpentine beings of great intellect and insight. Their brilliantly colored wings and gentle manner speak to their celestial origins
Monster/&DHCustomCouatlTitle	Couatl
Monster/&OwlFamiliarDescription	Owl Familiar
Monster/&OwlFamiliarTitle	Owl
Monster/&PactOfChainCustomImpDescription	Imps are found throughout the Lower Planes, either running errands for their infernal masters, spying on rivals, or misleading and waylaying mortals. An imp will proudly serve an evil master of any kind, but it can't be relied on to carry out tasks with any speed or efficiency
Monster/&PactOfChainCustomImpTitle	Imp (Pact of Chain)
Monster/&PactOfChainCustomPseudodragonDescription	The elusive pseudodragon dwells in the quiet places of the world, making its home in the hollows of trees and small caves. With its green scales, horns, and a maw filled with sharp teeth, a pseudodragon resembles a tiny green dragon but its disposition is playful
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragon
Monster/&PactOfChainCustomQuasitDescription	Quasits infest the Lower Planes. Physically weak, they keep to the shadows to plot mischief and wickedness. More powerful demons use quasits as spies and messengers when they aren't devouring them or pulling them apart to pass the time
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pact of Chain)
Monster/&PactOfChainCustomSpriteDescription	Unlike pixies, sprites rarely indulge in frivolous merriment and fun. They are firm warriors, protectors, and judges, and their stern bent causes other fey to consider them overly dour and serious. However, fey that respect the sprites' territory find them staunch allies in times of trouble
Monster/&PactOfChainCustomSpriteTitle	Sprite (Pact of Chain)
Monster/&WitchOwlFamiliarDescription	Owl Familiar
Monster/&WitchOwlFamiliarTitle	Owl
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 Piercing damage and target must succeed DC 11 Constitution save or become Poisoned
MonsterAttack/&AttackWarlockDragonStingTitle	Poisonous Sting
MonsterAttack/&AttackWarlockImpStingDescription	Poisonous Sting of an Imp
MonsterAttack/&AttackWarlockImpStingTitle	Poisonous Sting
MonsterAttack/&AttackWarlockQuasitStingTitle	Poisonous Sting
MonsterAttack/&DH_Custom_CouatlBite_AttackDescription	Piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious
MonsterAttack/&DH_Custom_CouatlBite_AttackTitle	Bite
Power/&AncientForestLifeSapDescription	When you hit an enemy with attack spell while at half-health, you inflict double your Proficiency bonus in Necrotic damage and heal for half of damage dealt
Power/&AncientForestLifeSapTitle	Life Sap
Power/&AncientForestRootedPowerDescription	Arboreal tendrils grow from your feet and dig into the ground. Your speed becomes 0, and you gain advantage on any saving throws to push you, pull you, or knock you prone.You can cast entangle at will
Power/&AncientForestRootedPowerTitle	Rooted
Power/&DH_ElementalFormPoolDescription	You can switch between elemental forms a number of times (equal to your Proficiency Bonus) per day by channeling elemental energy. You gain resistance to the relevant damage and once per turn, apply Proficiency Bonus as damage of the same type first hit each round. The forms last for 1 minute
Power/&DH_ElementalFormPoolEnhancedDescription	You can switch between elemental forms a number of times (equal to your Proficiency Bonus) per day by channeling elemental energy. You gain immunity to the relevant damage and apply Proficiency Bonus as damage of the same type to first hit each round. The forms last for 1 minute
Power/&DH_ElementalFormPoolEnhancedTitle	Elemental Forms
Power/&DH_ElementalFormPoolTitle	Elemental Forms
Power/&FindFamiliarBundlePowerDescription	Summon familiar in the form of Pseudorgagon, Sprite, Imp or Quasit.
Power/&FindFamiliarBundlePowerTitle	Find Familiar
Power/&HelpActionDescription	You can aid a friendly creature in attacking a creature within 5 feet of you. You feint, distract the target, or in some other way team up to make your ally's attack more effective. If your ally attacks the target before your next turn, the first attack roll is made with advantage
Power/&HelpActionTitle	Help
Power/&MoonlitDanceoftheNightSkyDescription	You can cast Fly on 4 targets once per day
Power/&MoonlitDanceoftheNightSkyTitle	Dance of the Night Sky
Power/&MoonlitDarkMoonDescription	You can cast Darkness (PB times per day)
Power/&MoonlitDarkMoonTitle	Dark Moon
Power/&MoonlitFullMoonDescription	You can cast Daylight (PB times per day)
Power/&MoonlitFullMoonTitle	Full Moon
Power/&MoonlitMoonTouchedDescription	You conjure the gravitational pull of the moon in a small area, causing creatures who fail a saving throw to float upwards
Power/&MoonlitMoonTouchedTitle	Moon Touched
Power/&PactofChainFamiliarInvisibilityPowerDescription	The creature magically turns invisible until it attacks or casts a spell, or until its concentration ends (as if concentrating on a spell). Any equipment the creaure wears or carries is invisible with it
Power/&PactofChainFamiliarInvisibilityPowerTitle	Invisibility
Power/&PactofChainFamiliarScarePowerDescription	One creature of your choice within 20 ft. of it must succeed on a DC 10 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success
Power/&PactofChainFamiliarScarePowerTitle	Scare
Power/&ToadKingCroakDescription	Emit a wave of sound that causes damage and pushes creatures and objects away
Power/&ToadKingCroakTitle	Croak
Power/&ToadKingGraspingTongueDescription	Pull enemies towards yourself
Power/&ToadKingGraspingTongueTitle	Grasping Tongue
Power/&ToadKingHallucinogenicToxinPowerDescription	Your body has changed to become resistent to toxins and to produce a defensive toxin when attacked in melee range (up to PB times per day). if the attacker fails a Con save, they become lucinogenic toxin until they are attacked or otherwise interrupted
Power/&ToadKingHallucinogenicToxinPowerTitle	Hallucinogenic Toxin
Power/&ToadKingSwallowDescription	Attempt to swallow a medium or smaller enemy. On a failed Str save, the monster is swallowed and receives 3D6 acid damage per round. Ends if the toad warlock is hit with 15 or more damage in single attack
Power/&ToadKingSwallowTitle	Swallow
Power/&UrPriestControlUndeadDescription	As an action, you target one undead creature you can see within 30 feet of you. The target must make a Wisdom saving throw. On a failed save, the target must obey your commands
Power/&UrPriestControlUndeadTitle	Control Undead
Power/&UrPriestHalfLifeDescription	You take necrotic energy into yourself and hang between life and death and are temporarily possessed by your own ghost, gaining flying, and the same condition immunities and damage resistenances as other ghosts
Power/&UrPriestHalfLifeTitle	Half Life
Power/&UrPriestRadiantWardDescription	As an action, you gain a number of temporary hit points equal to twice your warlock level
Power/&UrPriestRadiantWardTitle	Radiant Ward
Power/&UrPriestSpellSiphonDescription	you learn how to tap into a greater source of magic in combination with your normal reserve of power. As an action, you can expend a Channel Divinity to regain an expended use of your 6th-level Mystic Arcanum
Power/&UrPriestSpellSiphonTitle	Spell Siphon
Race/&BolgrifRaceDescription	Bolgrifs are half-giants living in the frozen highlands of Solasta. They are crafty, cautious, reclusive, distrust most humanoids except elves and prefer to live far from civilization in tight-knit clans. If pressed into battle, bolgrifs demonstrate formidable skills with weapons and nature magic
Race/&BolgrifRaceTitle	Bolgrif
Race/&GnomeRaceDescription	A constant hum of busy activity pervades the warrens and neighborhoods where gnomes form their close-knit communities. Louder sounds punctuate the hum: a crunch of grinding gears here, a minor explosion there, a yelp of surprise or triumph, and especially bursts of laughter. Gnomes take delight in life, enjoying every moment of invention, exploration, investigation, creation, and play
Race/&GnomeRaceTitle	Gnome
Race/&PointPoolSelect10FeatsDescription	Select 10 additional feats for your character
Race/&PointPoolSelect10FeatsTitle	10 Bonus Feats
Race/&PointPoolSelect11FeatsDescription	Select 11 additional feats for your character
Race/&PointPoolSelect11FeatsTitle	11 Bonus Feats
Race/&PointPoolSelect2FeatsDescription	Select 2 additional feats for your character
Race/&PointPoolSelect2FeatsTitle	2 Bonus Feats
Race/&PointPoolSelect3FeatsDescription	Select 3 additional feats for your character
Race/&PointPoolSelect3FeatsTitle	3 Bonus Feats
Race/&PointPoolSelect4FeatsDescription	Select 4 additional feats for your character
Race/&PointPoolSelect4FeatsTitle	4 Bonus Feats
Race/&PointPoolSelect5FeatsDescription	Select 5 additional feats for your character
Race/&PointPoolSelect5FeatsTitle	5 Bonus Feats
Race/&PointPoolSelect6FeatsDescription	Select 6 additional feats for your character
Race/&PointPoolSelect6FeatsTitle	6 Bonus Feats
Race/&PointPoolSelect7FeatsDescription	Select 7 additional feats for your character
Race/&PointPoolSelect7FeatsTitle	7 Bonus Feats
Race/&PointPoolSelect8FeatsDescription	Select 8 additional feats for your character
Race/&PointPoolSelect8FeatsTitle	8 Bonus Feats
Race/&PointPoolSelect9FeatsDescription	Select 9 additional feats for your character
Race/&PointPoolSelect9FeatsTitle	9 Bonus Feats
Reaction/&SpendPowerCounterStrikePowerDescription	Spend a gambit die and Counter Strike the enemy, if you hit, do an additional 1d6+2 bludgeoning damage
Reaction/&SpendPowerCounterStrikePowerReactDescription	Spend a gambit die and Counter Strike the enemy, if you hit, do an additional 1d6+2 bludgeoning damage
Reaction/&SpendPowerCounterStrikePowerReactTitle	Counter Strike
Reaction/&SpendPowerCounterStrikePowerTitle	Counter Strike
Reaction/&SpendPowerInspirePowerDescription	Spend a gambit die and inspire or your ally to give 1d6+2 temp hp
Reaction/&SpendPowerInspirePowerTitle	Inspire
Reaction/&SpendPowerKnockDownPowerDescription	Spend a gambit die and empower your attack to do an additional 1d6+2 bludgeoning damage and knock them down until the start of their next turn if they fail a Strength save vs. 8 + your Strength + proficiency
Reaction/&SpendPowerKnockDownPowerReactDescription	Spend a gambit die and empower your attack to do an additional 1d6+2 bludgeoning damage and knock them down until the start of their next turn if they fail a Strength save vs. 8 + your Strength + proficiency
Reaction/&SpendPowerKnockDownPowerReactTitle	Knock down
Reaction/&SpendPowerKnockDownPowerTitle	Knock down
Reaction/&SubitemSelectSlotLevelTitle	Slot Level
Reaction/CastSpellInRetributionDescription	{0} is attacking {1}! You can cast {2} in responce!
Reaction/CastSpellInRetributionReactDescription	Click to cast {0}
Reaction/CastSpellInRetributionReactTitle	Cast Spell
Reaction/CastSpellInRetributionTitle	Cast Reaction Spell
RestActivity/&ZSRespecDescription	Respec this Hero
RestActivity/&ZSRespecTitle	Respec
RestActivity/&ZSSorcerousRestorationDescription	Regain 4 sorcery points during a short rest
RestActivity/&ZSSorcerousRestorationTitle	Sorcerous Restoration
Rules/&AdvantageAttackOnEnemyDescription	Advantage to attack enemy
Rules/&AdvantageAttackOnEnemyTitle	Lit Up
Rules/&CounterFormDismissCreatureFormat	Dismiss Tinkerer construct
Rules/&DisadvantageOnAttackByEnemyDescription	Distracted by lightning jolt
Rules/&DisadvantageOnAttackByEnemyTitle	Jolted
Rules/&ExtraDamageOnAttackConditionDescription	Extra damage from Lighting Spear
Rules/&ExtraDamageOnAttackConditionTitle	Static shocked
Rules/&HalfCoverShieldAttributeDescription	Allies Gain +2AC within 10ft
Rules/&HalfCoverShieldAttributeTitle	Half Cover Dome
Rules/&HalfCoverShieldConditionDescription	+2AC
Rules/&HalfCoverShieldConditionTitle	Protected by Dome
Rules/&LightningSpearPowerDescription	Lightning Damage 1D6 + 1D6
Rules/&LightningSpearPowerTitle	Lightning Spear
Rules/&SelfDestructionConditionDescription	Self Destruction
Rules/&SelfDestructionConditionTitle	Self Destruction
Rules/&ThunderStruckBalancingAdvantageDescription	Balancing thunderstruck to only work for allies
Rules/&ThunderStruckBalancingAdvantageTitle	Taunted
Rules/&ThunderStruckDescription	Disadvantage to attack Scout Sentinel's allies
Rules/&ThunderStruckTitle	Thunderstruck(Distracted)
Screen/&CovenSpellDescription	Spell known because part of a Coven
Screen/&CovenSpellHeader	Coven
Screen/&CovenSpellTitle	Coven
Screen/&EditorLocationSize3Title	Huge [MODDED]
Screen/&EditorLocationSize4Title	Gargantuan [MODDED]
Screen/&FeyTeleportSpellDescription	This Fey spell is always prepared
Screen/&FeyTeleportSpellTitle	Fey
Screen/&ShadowTouchedSpellDescription	This Shadow spell is always prepared
Screen/&ShadowTouchedSpellTitle	Shadow
Screen/&SpellSlotsUsedLongDescription	You have expended {0} long-rest slot(s) of this level
Screen/&SpellSlotsUsedShortDescription	You have expended {0} short-rest slot(s) of this level
Screen/&SpellSlotsUsedShortLongDescription	You have expended {0} short-rest slot(s) and {1} long-rest slot(s) of this level
Screen/&WitchSpellDescription	Spell known as a Witch
Screen/&WitchSpellHeader	Witch
Screen/&WitchSpellTitle	Witch
Sorceror/&ZSSorcerousRestorationDescription	Regain 4 sorcery points during a short rest
Sorceror/&ZSSorcerousRestorationTitle	Sorcerous Restoration
