ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Monster/&DHCustomAirTitanDescription	Lorsqu'ils sont invoqués, ces élémentaires anciens se manifestent comme des êtres aux capacités apocalyptiques, des entités dont la simple existence promet la destruction.
Monster/&DHCustomAirTitanTitle	<color=#ff0000ff>Primordial Air Titan</color>
Monster/&DHCustomAncientBlackDragonDescription	Le plus maléfique et le plus vil des dragons chromatiques, les dragons noirs collectionnent les épaves et les trésors des peuples déchus. Ces dragons détestent voir les faibles prospérer et se délectent de l'effondrement des royaumes humanoïdes. Ils élisent domicile dans les marais fétides et les ruines croulantes où se trouvaient autrefois des royaumes.
Monster/&DHCustomAncientBlackDragonTitle	<color=#ff0000ff>Ancien Dragon Noir</color>
Monster/&DHCustomAncientBlueDragonDescription	Vains et territoriaux, les dragons bleus planent dans les cieux au-dessus des déserts, s'attaquant aux caravanes et pillant les troupeaux et les colonies dans les terres verdoyantes au-delà de l'étendue du désert. On peut également trouver ces dragons dans les steppes sèches, les badlands brûlants et les côtes rocheuses. Ils gardent leurs territoires contre tous les concurrents potentiels, en particulier les dragons cuivrés.
Monster/&DHCustomAncientBlueDragonTitle	<color=#ff0000ff>Ancien Dragon Bleu</color>
Monster/&DHCustomAncientGreenDragonDescription	Les plus rusés et les plus perfides des vrais dragons, les dragons verts utilisent la mauvaise orientation et la ruse pour prendre le dessus sur leurs ennemis. D'un tempérament méchant et profondément maléfique, ils prennent un plaisir particulier à subvertir et à corrompre les personnes au bon cœur. Dans les forêts anciennes qu'ils parcourent, les dragons verts font preuve d'une agressivité qui est souvent moins liée au territoire qu'à l'obtention de pouvoir et de richesse avec le moins d'efforts possible.
Monster/&DHCustomAncientGreenDragonTitle	<color=#ff0000ff>Ancien dragon vert</color>
Monster/&DHCustomAncientRedDragonDescription	Les plus cupides des vrais dragons, les dragons rouges cherchent inlassablement à accroître leurs trésors. Ils sont exceptionnellement vaniteux, même pour des dragons, et leur vanité se reflète dans leur port altier et leur dédain pour les autres créatures.
Monster/&DHCustomAncientRedDragonTitle	<color=#ff0000ff>Ancien Dragon Rouge</color>
Monster/&DHCustomAncientWhiteDragonDescription	Les plus petits, les moins intelligents et les plus animalistes des dragons chromatiques, les dragons blancs habitent dans les climats glacials, privilégiant les zones arctiques ou les montagnes glacées. Ce sont des reptiles vicieux et cruels animés par la faim et la cupidité.
Monster/&DHCustomAncientWhiteDragonTitle	<color=#ff0000ff>Ancien Dragon Blanc</color>
Monster/&DHCustomArchmageDescription	Les archimages sont des lanceurs de sorts puissants (et généralement assez âgés) qui se consacrent à l'étude des arts arcaniques. Les bienveillants conseillent les rois et les reines, tandis que les maléfiques règnent en tyrans et poursuivent le lichdom. Ceux qui ne sont ni bons ni mauvais se séquestrent dans des tours éloignées pour pratiquer leur magie sans interruption.
Monster/&DHCustomArchmageTitle	<color=#ff0000ff>Archmage</color>
Monster/&DHCustomBalorDescription	Figures du mal ancien et terrible, les balors règnent en généraux sur des armées démoniaques, aspirant à s'emparer du pouvoir tout en détruisant toutes les créatures qui s'opposent à eux....
Monster/&DHCustomBalorTitle	<color=#ff0000ff>Balor</color>
Monster/&DHCustomConstructTitanDescription	Des constructions massives bâties pour la guerre et forgées de métal lourd. Un juggernaut inarrêtable, il existe pour suivre les ordres de son créateur, et il protège ou attaque comme ce créateur l'exige.
Monster/&DHCustomConstructTitanTitle	<color=#ff0000ff>Mechanical Construct Titan</color>
Monster/&DHCustomCouatlDescription	Les couatls sont des êtres serpentins bienveillants, d'une grande intelligence et perspicacité. Leurs ailes brillamment colorées et leurs manières douces témoignent de leurs origines célestes.
Monster/&DHCustomCouatlTitle	Couatl
Monster/&DHCustomDevaDescription	Les Devas sont des anges qui agissent en tant que messagers ou agents divins sur le plan matériel,
Monster/&DHCustomDevaTitle	<color=#ff0000ff>Deva</color>
Monster/&DHCustomDjinniDescription	Fiers génies du Plan élémentaire de l'Air, maîtres de l'air, les djinns chevauchent de puissants tourbillons qu'ils créent et dirigent sur un coup de tête, et qui peuvent même transporter des passagers.
Monster/&DHCustomDjinniTitle	<color=#ff0000ff>Djinni</color>
Monster/&DHCustomEarthTitanDescription	Lorsqu'ils sont invoqués, ces élémentaires anciens se manifestent comme des êtres aux capacités apocalyptiques, des entités dont la simple existence promet la destruction.
Monster/&DHCustomEarthTitanTitle	<color=#ff0000ff>Primordial Earth Titan</color>
Monster/&DHCustomEfreetiDescription	Génies Hulking du plan élémentaire du feu, les efreet sont des maîtres de la flamme, immunisés contre le feu et capables de le créer sur un coup de tête.
Monster/&DHCustomEfreetiTitle	<color=#ff0000ff>Efreeti</color>
Monster/&DHCustomErinyesDescription	les erinyes sont des guerriers féroces et disciplinés. Balayant les cieux, ils apportent une mort rapide aux créatures qui ont fait du tort à leurs maîtres....
Monster/&DHCustomErinyesTitle	<color=#ff0000ff>Erinyes</color>
Monster/&DHCustomFireTitanDescription	Lorsqu'ils sont invoqués, ces élémentaires anciens se manifestent comme des êtres aux capacités apocalyptiques, des entités dont la simple existence promet la destruction.
Monster/&DHCustomFireTitanTitle	<color=#ff0000ff>Titan du feu primordial</color>
Monster/&DHCustomGuardianNagaDescription	Sages et bons, les magnifiques nagas gardiens protègent les lieux sacrés et les objets de pouvoir magique pour qu'ils ne tombent pas entre de mauvaises mains. Dans leurs redoutes cachées, ils recherchent des sorts et ourdissent des complots alambiqués pour contrecarrer les desseins maléfiques de leurs ennemis.
Monster/&DHCustomGuardianNagaTitle	<color=#ff0000ff>Naga gardien</color>
Monster/&DHCustomHornedDevilDescription	Infanterie volante des légions infernales, les diables cornus suivent les ordres à la lettre.
Monster/&DHCustomHornedDevilTitle	<color=#ff0000ff>Diable à cornes</color>
Monster/&DHCustomIceDevilDescription	Convoitant le pouvoir de leurs supérieurs fosseux, les diables de glace travaillent sans cesse à leur promotion, massacrant les ennemis des neuf enfers et réclamant autant d'âmes que possible pour leurs maîtres archidévins.
Monster/&DHCustomIceDevilTitle	<color=#ff0000ff>Diable de glace</color>
Monster/&DHCustomLichDescription	Les liches sont les restes de grands sorciers qui embrassent la mort comme un moyen de se préserver. Elles favorisent leur propre pouvoir à tout prix, n'ayant aucun intérêt pour les affaires des vivants, sauf lorsque ces affaires interfèrent avec les leurs. Intrigants et fous, ils ont faim de connaissances oubliées depuis longtemps et des plus terribles secrets.
Monster/&DHCustomLichTitle	<color=#ff0000ff>Lich</color>
Monster/&DHCustomNalfeshneeDescription	Le nalfeshnee est l'un des démons les plus grotesques - un simulacre corpulent de singe et de sanglier faisant deux fois la taille d'un humain, avec des ailes à plumes qui semblent trop petites pour son corps gonflé. Ces traits brutaux cachent une intelligence et une ruse remarquables.
Monster/&DHCustomNalfeshneeTitle	<color=#ff0000ff>Nalfeshnee</color>
Monster/&DHCustomPitFiendDescription	Seigneurs incontestés de la plupart des autres diables, les diables de fosse assistent les archiducs et archiduchesses des neuf enfers et exécutent leurs souhaits. Ces puissants diables sont les généraux des Neuf Hells, menant ses légions infernales au combat.
Monster/&DHCustomPitFiendTitle	<color=#ff0000ff>Dévin de fosse</color>
Monster/&DHCustomPlanetarDescription	Les planétariens agissent comme les armes des dieux qu'ils servent, présentant une représentation tangible de la puissance de leurs divinités.
Monster/&DHCustomPlanetarTitle	<color=#ff0000ff>Planetar</color>
Monster/&DHCustomRocDescription	Les rocs sont des créatures solitaires qui peuvent vivre pendant des siècles. Ils se terrent dans des nids faits d'arbres, de tentes, de navires brisés et de restes de caravanes qu'ils emportent, plaçant ces enchevêtrements massifs dans les fentes des montagnes, hors de portée des créatures de moindre importance.
Monster/&DHCustomRocTitle	<color=#ff0000ff>Roc</color>
Monster/&DHCustomSolarDescription	Sur le champ de bataille, l'épée du solaire s'élance toute seule dans la mêlée, et une seule flèche de l'arc d'un solaire peut foudroyer une cible au contact. La puissance céleste d'un solar est si grande que même les princes démons reculent devant ses ordres résonnants.
Monster/&DHCustomSolarTitle	<color=#ff0000ff>Solaire</color>
Monster/&DHCustomStormGiantDescription	Les géants des tempêtes sont des voyants contemplatifs qui vivent dans des lieux éloignés de la civilisation mortelle. La plupart ont une peau et des cheveux gris violet pâle, et des yeux émeraude étincelants.
Monster/&DHCustomStormGiantTitle	<color=#ff0000ff>Géant des tempêtes</color>
Monster/&DHCustomTarrasqueDescription	Le légendaire tarrasque est probablement le monstre le plus redouté du Plan Matériel. On croit généralement qu'il n'existe qu'une seule de ces créatures, bien que personne ne puisse prédire où et quand elle frappera. Un bipède écailleux, le tarrasque mesure cinquante pieds de haut et soixante-dix pieds de long, pesant des centaines de tonnes....
Monster/&DHCustomTarrasqueTitle	<color=#ff0000ff>Tarrasque</color>
Monster/&DHCustomVampireDescription	Réveillés par une nuit sans fin, les vampires ont faim de la vie qu'ils ont perdue et assouvissent cette faim en buvant le sang des vivants. Les vampires détestent la lumière du soleil, car son contact les brûle. Ils ne projettent jamais d'ombres ou de reflets, et tout vampire souhaitant passer inaperçu parmi les vivants se tient dans l'obscurité et loin des surfaces réfléchissantes.
Monster/&DHCustomVampireTitle	<color=#ff0000ff>Vampire</color>
Monster/&OwlFamiliarDescription	Familier hibou
Monster/&OwlFamiliarTitle	Hibou
Monster/&PactOfChainCustomImpDescription	On trouve des diablotins partout dans les plans inférieurs, qu'ils fassent des courses pour leurs maîtres infernaux, qu'ils espionnent leurs rivaux ou qu'ils trompent et détournent les mortels. Un diablotin servira fièrement un maître maléfique, quel qu'il soit, mais on ne peut pas compter sur lui pour accomplir des tâches avec rapidité ou efficacité.
Monster/&PactOfChainCustomImpTitle	Lutin (Pacte de la chaîne)
Monster/&PactOfChainCustomPseudodragonDescription	L'insaisissable pseudo-dragon habite les endroits calmes du monde, se réfugiant dans les creux des arbres et les petites grottes. Avec ses écailles brun-rouge, ses cornes et sa gueule remplie de dents acérées, le pseudodragon ressemble à un petit dragon rouge, mais son caractère est enjoué.
Monster/&PactOfChainCustomPseudodragonTitle	Pseudodragon (Pacte de la Chaîne)
Monster/&PactOfChainCustomQuasitDescription	Les Quasits infestent les plans inférieurs. Physiquement faibles, ils restent dans l'ombre pour comploter des méfaits et de la méchanceté. Les démons plus puissants utilisent les quasits comme espions et messagers, quand ils ne les dévorent pas ou ne les déchirent pas pour passer le temps.
Monster/&PactOfChainCustomQuasitTitle	Quasit (Pacte de la chaîne)
Monster/&PactOfChainCustomSpriteDescription	Contrairement aux lutins, les lutins s'adonnent rarement aux plaisirs frivoles et aux amusements. Ils sont de solides guerriers, protecteurs et juges, et leur caractère sévère amène les autres feys à les considérer comme trop mornes et sérieux. Cependant, les fey qui respectent le territoire des sprites trouvent en eux de solides alliés en cas de problème.
Monster/&PactOfChainCustomSpriteTitle	Lutin (Pacte de la chaîne)
Monster/&WitchOwlFamiliarDescription	Familier hibou
Monster/&WitchOwlFamiliarTitle	Hibou
MonsterAttack/&DHAirBlastAttackDescription	5d6 tonnerre et pousse 2 cellules
MonsterAttack/&DHAirBlastAttackTitle	Souffle d'air
MonsterAttack/&DHAirTitanSlamAttackDescription	4d6+6 matraquage & 4d6 tonnerre
MonsterAttack/&DHAirTitanSlamAttackTitle	Coup de tonnerre
MonsterAttack/&DHAncientDragonTailAttackDescription	2D8+8 matraquage
MonsterAttack/&DHAncientDragonTailAttackTitle	Attaque de la queue
MonsterAttack/&DHBalorLongswordAttackDescription	3D8+8 Coupant et 3D8 Foudre
MonsterAttack/&DHBalorLongswordAttackTitle	Attaque à l'épée longue
MonsterAttack/&DHBalorWhipAttackDescription	2D6+8 Taillade et 3D6 Feu
MonsterAttack/&DHBalorWhipAttackTitle	Attaque au fouet
MonsterAttack/&DHConstructTitanForceCannonAttackDescription	4D8 dégâts de Force et la cible est mise à terre.
MonsterAttack/&DHConstructTitanForceCannonAttackTitle	Canon de force
MonsterAttack/&DHConstructTitanSlamAttackDescription	3D12+8 dégâts de matraquage et la cible est poussée à 6 mètres.
MonsterAttack/&DHConstructTitanSlamAttackTitle	Claquement
MonsterAttack/&DHCouatlBiteAttackDescription	Dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DC 13 ou être empoisonnée pendant 24 heures. Jusqu'à la fin de cet empoisonnement, la cible est inconsciente.
MonsterAttack/&DHCouatlBiteAttackTitle	Morsure
MonsterAttack/&DHDamageAcidBiteAttackDescription	2D10+9 Dégâts perforants & 2D8 Dégâts acides
MonsterAttack/&DHDamageAcidBiteAttackTitle	Attaque de morsure acide
MonsterAttack/&DHDamageColdBiteAttackDescription	2D10+9 Perforation & 2D8 Dégâts de froid
MonsterAttack/&DHDamageColdBiteAttackTitle	Attaque de morsure de glace
MonsterAttack/&DHDamageFireBiteAttackDescription	2D10+9 Perforation & 4D6 Dégâts de feu
MonsterAttack/&DHDamageFireBiteAttackTitle	Attaque de morsure de feu
MonsterAttack/&DHDamageLightningBiteAttackDescription	2D10+9 Perforant & 2D10 Dégâts de Foudre
MonsterAttack/&DHDamageLightningBiteAttackTitle	Morsure de foudre
MonsterAttack/&DHDamagePoisonBiteAttackDescription	2D10+9 Perforation & 3D6 Dégâts de Poison
MonsterAttack/&DHDamagePoisonBiteAttackTitle	Attaque de morsure de poison
MonsterAttack/&DHEarthTitanBoulderAttackDescription	7D10+8 matraquage
MonsterAttack/&DHEarthTitanBoulderAttackTitle	Boulder
MonsterAttack/&DHEarthTitanSlamAttackDescription	4D10+8 matraquage
MonsterAttack/&DHEarthTitanSlamAttackTitle	Frappe au sol
MonsterAttack/&DHFireScimatarAttackDescription	2d6+6 tranchant & 2d6 feu
MonsterAttack/&DHFireScimatarAttackTitle	Scimatar
MonsterAttack/&DHFireTitanSlamAttackDescription	3d6+5 matraquage + 10d6 feu
MonsterAttack/&DHFireTitanSlamAttackTitle	Claquement déchirant
MonsterAttack/&DHForkAttackDescription	2D8 +6 Transperçant
MonsterAttack/&DHForkAttackTitle	Attaque de fourche
MonsterAttack/&DHGenericBiteAttackNoExtraDamageDescription	2d10 + 6 Dommages par perforation
